Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Street Name,Disposition
Found Property,DR2025-01053,3/21/25 21:23,3/21/25 21:23,SDFCP (Sun Devil Fitness Center Poly),E SUN DEVIL MALL,No Solvability Factors (Inactive)
Criminal Damage,DR2025-01051,3/21/25 21:00,3/20/25 22:00,HAV H-Wing - Acourtia,E LEMON ST,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-01054,3/21/25 20:41,3/21/25 17:30,Durham Hall,S CADY MALL,No Solvability Factors (Inactive)
Traffic Stop,DR2025-01048,3/21/25 20:23,3/21/25 20:23,,N SCOTTSDALE RD,Cited and Released
Forgery/Fraud,DR2025-01047,3/21/25 16:37,2/24/25 16:37,Health North,N 3RD ST,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-01046,3/21/25 16:33,3/20/25 20:30,MU (Memorial Union),E ORANGE MALL,No Solvability Factors (Inactive)
Driving Under the Influence,DR2025-01039,3/21/25 3:20,3/21/25 3:20,,E PIERCE ST,Long Formed and Booked
Subject Stop,DR2025-01034,3/20/25 23:09,3/20/25 23:09,Psychology North,S MCALLISTER AVE,Brief Alcohol Screening and Intervention
Forgery/Fraud,DR2025-01030,3/20/25 12:28,1/10/25 12:28,Student Services Building (SSB),S FOREST AVE,Assigned to Patrol Officer
Driving Under the Influence,DR2025-01028,3/20/25 4:04,3/20/25 4:04,PS VDS,E APACHE BLVD,Long Formed for Prosecution
Driving Under the Influence,DR2025-01026,3/20/25 1:18,3/20/25 1:18,,N 3RD ST,Long Formed for Prosecution
Welfare Check,DR2025-01025,3/20/25 1:16,3/20/25 1:16,Barrett - Cereus Hall,E APACHE BLVD,Long Formed for Prosecution
Traffic Stop,DR2025-01023,3/20/25 0:51,3/20/25 0:51,,E FILLMORE ST,Cited and Released
Fight,DR2025-01020,3/19/25 22:40,3/19/25 22:40,Best B,S FOREST AVE,SRR Referral
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-01019,3/19/25 21:43,3/19/25 18:30,Noble Science Library,E TYLER MALL,No Solvability Factors (Inactive)
