Case Number,Date/Time Occurred,Location,Incident Type,Disposition
25013924,3/16/25 19:22,MSR1/815 Albany St,Trespass,
25013918,3/16/25 18:59,MSR1/815 Albany St,Trespass,
25013865,3/16/25 22:53,GBLDG/635 Albany St,Trespass,
25013778,3/15/25 21:02,Talbot Green/715 Albany St,Trespass,Closed
25013766,3/15/25 19:10,Neidlext/620 Albany St,Trespass,Closed
25013746,3/15/25 16:55,Talbot Green/715 Albany St,Trespass,Closed
25013726,3/15/25 11:49,LBLDG/72 East Concord St,Pub Safety Escort,Closed
25013624,3/14/25 19:48,Talbot Green/715 Albany St,Trespass,Closed
25013596,3/14/25 15:01,LBLDG/72 East Concord St,Trespass,Closed
25013582,3/14/25 12:26,Talbot Blg & Ext/715 Albany St,Trespass,Closed
25013499,3/14/25 14:25,G1/635 Albany St,Trespass,Closed
25013478,3/14/25 13:16,G1/635 Albany St,Pub Safety Escort,Closed
25013406,3/13/25 17:54,MSRBLDG/815 Albany St,Trespass,Closed
25013391,3/13/25 15:52,635 Albany St,Assist BU Department,Closed
25013390,3/13/25 15:31,GBLDG/635 Albany St,Disorderly Person,Report Taken
25013368,3/13/25 11:07,WBLDG/700 Albany St,Trespass,Closed
25013331,3/13/25 6:17,NEIDL/620 Albany St,Trespass,Closed
25013302,3/13/25 2:53,MSR1/815 Albany St,Medical Assist,Report Taken
25013287,3/13/25 1:45,A Building/72 East Concord St,Trespass,Closed
25013242,3/12/25 20:06,GBLDG/635 Albany St,Trespass,Closed
25013209,3/12/25 16:05,610 Garage/610 Albany St,Other,Closed
25013203,3/12/25 14:50,LBLDG/72 East Concord St,Community Outreach Training or Engagment,Closed
25013201,3/12/25 14:43,MSRBLDG/815 Albany St,Trespass,Closed
25013200,3/12/25 14:40,14th Floor/72 East Concord St,Community Outreach Training or Engagment,Closed
25013199,3/12/25 14:24,LBLDG/72 East Concord St,Lost and Found Service,Report Taken
25013185,3/12/25 12:02,610 Albany St,Past M/V Break,Closed
25013183,3/12/25 11:41,610 Garage/610 Albany St,Other,Report Taken
25013170,3/12/25 10:47,4th Floor/72 East Concord St,Community Outreach Training or Engagment,Closed
25013071,3/11/25 23:02,Talbot Blg /715 Albany St,Trespass,Closed
25013067,3/11/25 21:47,Evansbldg/75 East Newton St,Trespass,Closed
25013062,3/11/25 21:07,Researchbldg/75 East Newton St,Trespass,Closed
25013044,3/11/25 18:14,GBLDG/635 Albany St,Pub Safety Escort,Closed
25013032,3/11/25 16:45,610-7/610 Albany St,Assist Disabled MV,Closed
25013023,3/11/25 15:33,WBLDG/700 Albany St,Other,Closed
25013019,3/11/25 15:05,EBRCBLDG/650 Albany St ,Tagging/Graffiti,Closed
25013015,3/11/25 14:10,EBRCBLDG/650 Albany St ,Other,Closed
25013000,3/11/25 11:29,L/72 Easr Concord St,Protestors or Public Demonstrations,Closed
25012995,3/11/25 11:06,L1/72 East Concord St,Open Door/Window,Closed
25012993,3/11/25 11:04,LBLDG/72 East Concord St,Lost and Found Service,Closed
25012988,3/11/25 10:27,ROBI1/65 East Newton St,Open Door/Window,Closed
25012945,3/11/25 5:05,GBLDG/635 Albany St,Pub Safety Escort,Closed
25012920,3/11/25 2:58,Talbot Blg /715 Albany St,Trespass,Closed
25012893,3/11/25 0:37,MSRBLDG/815 Albany St,Trespass,Closed
25012877,3/10/25 23:03,ROBI1/65 East Newton St,Pub Safety Escort,Closed
25012871,3/10/25 21:30,GBLDG/635 Albany St,Trespass,Closed
25012861,3/10/25 19:54,KBLDG/71 East Concord St,Trespass,Closed
25012857,3/10/25 19:38,Albany St & Massachussetts Ave,Assist Disabled MV,Closed
25012808,3/10/25 12:34,Evans8/75 East Newton St,Wellbeing Check,Closed
25012770,3/10/25 7:59,MSRBLDG/815 Albany St,Non-emergency Medical Call,Closed
25012765,3/10/25 7:12,Talbot Blg /715 Albany St,Trespass,Closed
25012671,3/9/25 23:25,Talbot Blg /715 Albany St,Trespass,
25012667,3/9/25 23:03,GBLDG/635 Albany St,Trespass,
25012654,3/9/25 21:42,MSRBLDG/815 Albany St,Trespass,
25012650,3/9/25 20:46,G1/635 Albany St,Trespass,
25012648,3/9/25 20:43,G1/635 Albany St,Trespass,
25012599,3/9/25 15:22,LBLDG/72 East Concord St,Trespass,
25012466,3/8/25 18:33,GBLDG/635 Albany St,Trespass,Closed
25012450,3/8/25 16:32,LBLDG/72 East Concord St,Smoking Enforcement,Closed
25012377,3/8/25 5:13,EBRCBLDG/650 Albany St ,Trespass,Closed
25012348,3/8/25 1:55,KBLDG/71 East Concord St,Trespass,Closed
25012339,3/8/25 1:15,GBLDG/635 Albany St,Assist Other Police Agency ,Closed
