Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Disposition
Vandalism,25-1-OF,1/2/25 1620,Unknown,Grad Center ,Open
,,,,Grad Center Tower B,
,,,,"Grad Center Tower B, 44 Charlesfield St",
Larceny (IDs),25-10-OF,1/7/25 1056,1/2/25 1140 1/2/25 1150,Lincoln Field Building,Open
,,,,180 Thayer Street,
Vandalism,25-15-OF,1/10/25 1014,12/20/24 0800 1/5/25 0900,Rochambeau  House,Open
,,,,84 Prospect Street,
Vandalism,25-19-OF,1/13/25 0908,12/21/24 1500 1/12/25 1500,Brown Bookstore,Open
,,,,244 Thayer Street,
Vandalism,25-23-OF,1/14/25 1256,Unknown,Science Library,Open
,,,,201 Thayer Street,
Larceny (electric scooter),25-30-OF,1/19/25 1336,1/17/25 1700 1/19/25 1336,Miller Hall (outside),Open
,,,,118 Cushing Street,
Larceny (electric scooter),25-32-OF,1/20/25 1627,1/17/25 1800 1/20/25 1630,Young Orchard #4 (outside) 4 Young Orchard Ave,Open
Vandalism,25-34-OF,1/21/25 0751,1/20/25 1500 1/21/25 0745,Main Green,Open
,,,,75 Waterman Street,
Larceny (electric scooter),25-53-OF,1/26/25 1907,1/26/25 1430 1/26/25 1927,Metcalf Bike Rack,Open
,,,,98 Cushing Street,
Vandalism,25-61-OF,1/28/25 0320,Unknown,Rockefeller Library,Open
,,,,10 Prospect Street,
Vandalism,25-68-OF,1/29/25 0155,Unknown,Sharpe Refectory,Open
,,,,144 Thayer Street,
Sex Offense - Rape,25-69-OF,1/29/25,Oct-23,Residence Hall,CSA form
,25-1-CSA,,,,
Vandalism,25-72-OF,1/30/25 0105,Unknown,Sayles Hall,Open
,,,,81 Waterman Street,
Stalking,25-115-OF,2/8/25,1/30/25,On Campus,CSA form
,25-2-CSA,,,,
Sex Offense - Rape,25-130-OF,2/9/25,2/9/25,Residence Hall,CSA form
,25-2-OF,,,,
Larceny,25-132-OF,2/12/25 1241,2/5/25 1100 2/12/25 1100,Kasser House,Open
,,,,151 Thayer Street,
Vandalism,25-161-OF,2/17/25 1120,Unknown,Dyer House,Open
,,,,200 Dyer Street,
Larceny (jacket),25-149-OF,2/15/25 2121,2/15/25 2100 2/15/25 2120,Grad Center ,Open
,,,,Tower E,
,,,,42 Charlesfield St,
Vandalism,25-162-OF,2/18/25 0722,Unknown,Champlin Hall,Open
,,,,208 Meeting Street,
Larceny,25-164-OF,2/18/25 1356,2/16/25 1800 2/18/25 1135,Barbour Hall (outside) ,Open
,,,,100 Charlesfield St. ,
Vandalism,25-178-OF,2/21/25 0735,Unknown,20 Olive Street,Open
Larceny (scooter),25-186-OF,2/22/25 1734,2/20/25 1845 2/22/25 1545,180 Thayer Street,Open
,,,,(bicycle rack),
Vandalism,25-192-OF,2/23/25 1759,2/23/25 0000 2/23/25 0151,Everett House,Open
,,,,13 Benevolent St,
Vandalism,25-197-OF,2/24/25 0817,Unknown,Ittleson Quad,Open
