Case Number,Date/Time Occurred,Incident Type,Location,Disposition
2501-00593,1/31/25 8:22,Theft Under $50,WW Hagerty Library,Pending Investigation
2501-00599,1/31/25 14:06,Theft Except Auto Thefts $200 and Over,General Service Building,Pending Investigation
2501-00606,1/31/25 18:00,Policy Law Violation - Drugs,Towers Hall,Student Conduct
2502-00643,1/31/25 18:00,Other Offense - Harrassment by Communication,The Summit,Pending Investigation
2502-00657,2/3/25 1:15,Policy Law Violation - Drugs,Kelly Hall,Student Conduct
2502-00678,2/3/25 8:03,Auto Theft ,3500 Blk of Market Street,Pending Investigation
2502-00679,2/4/25 7:38,Theft Under $50,3440 Market St,Closed
2502-00701,2/5/25 9:10,Theft Except Auto Thefts $200 and Over,WW Hagerty Library,Pending Investigation
2502-00703,2/5/25 0:00,Policy Law Violation - Alcohol,Race Hall,Student Conduct
2502-00704,1/24/25 0:00,Assault - Stalking,Rush Building,Closed
2502-00757,2/7/25 15:30,Theft Under $50,Bulletin Building,Pending Investigation
2502-00762,2/7/25 20:12,Theft Except Auto Thefts $200 and Over,3100 Blk Market Street,Pending Investigation
2502-00770,2/8/25 0:21,Policy Law Violation - Weapons,Kelly Hall,Student Conduct
2502-00773,2/8/25 1:00,Assault - Other,University Crossings,Pending Investigation
2502-00777,2/8/25 10:46,Theft Under $50,34th/Market St,Pending Investigation
2502-00778,2/8/25 5:57,Theft Except Auto Thefts $50 to $199.99,Off Campus Location,Pending Investigation
2502-00784,2/8/25 1:00,Vandalism - Graffiti,Towers Hall,Pending Investigation
2502-00785,2/9/25 0:44,Other Offense - Harrassment by Communication,Off Campus Location,Pending Investigation
2502-00800,2/9/25 23:21,Assault - Other,Off Campus Location,Closed
2502-00816,2/10/25 10:30,Assault - Other,200 Blk N 33rd Street,Cleared by Arrest
2502-00823,2/10/25 14:41,Fraud,Off Campus Location,Pending Investigation
2502-00838,2/11/25 7:09,Theft Except Auto Thefts $50 to $199.99,Wawa,Pending Investigation
2502-00855,2/12/25 1:14,Policy Law Violation - Alcohol,Millennium Hall,Student Conduct
2502-00873,2/12/25 19:23,Theft Under $50,33rd/Market St,Closed
