Case Number,Date/Time Occurred,Date/Time Occurred to,OffenseCode,Incident Type,Disposition,CaseDisposition,LocationCode,PatrolZone,Location,Street Address,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude
25030633,3/24/25 18:11,3/24/25 18:12,9999EMS,,Closed by Other Means,,ONCAM,Z4,Stamps Field,750,,Ferst Drive NW,33.776854,-84.403665
25030632,3/24/25 14:16,3/24/25 15:30,9999,,Closed by Other Means,Not Applicable,ONCAM,Z1,Georgia Tech Police Department,965,,Hemphill Avenue NW,33.781162,-84.403603
25030628,3/23/25 14:42,3/23/25 14:43,9999,,Closed by Other Means,,ONCAM,Z4,Stamps Field,750,,Ferst Drive NW,33.776854,-84.403665
25030625,3/22/25 1:13,3/22/25 2:05,9999T,,Closed by Arrest,Not Applicable,ONCAM,Z3,Ferst Drive @ State Street   Z1,,,Ferst Drive NW & State Street NW,33.778281,-84.399174
25030625,3/22/25 1:13,3/22/25 2:05,8399,,Closed by Arrest,Not Applicable,ONCAM,Z3,Ferst Drive @ State Street   Z1,,,Ferst Drive NW & State Street NW,33.778281,-84.399174
25030626,3/22/25 22:44,3/23/24 1:25,90B,Curfew/Loitering/Vagrancy Violations,Closed by Arrest,Not Applicable,ONCAM,Z2,Academy of Medicine   198   Z2,875,,West Peachtree Street NW,33.77836802,-84.38668802
25030626,3/22/25 22:44,3/23/24 1:25,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,ONCAM,Z2,Academy of Medicine   198   Z2,875,,West Peachtree Street NW,33.77836802,-84.38668802
25030626,3/22/25 22:44,3/23/24 1:25,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,ONCAM,Z2,Academy of Medicine   198   Z2,875,,West Peachtree Street NW,33.77836802,-84.38668802
25030626,3/22/25 22:44,3/23/24 1:25,9999,,Closed by Arrest,Not Applicable,ONCAM,Z2,Academy of Medicine   198   Z2,875,,West Peachtree Street NW,33.77836802,-84.38668802
25030624,3/21/25 17:42,3/21/25 19:21,9999W,,Closed by Arrest,,PUB,Z4,McMillan Street  NW @ Eighth Street  NW,,,,33.77822144,-84.40373472
25030622,3/21/25 2:03,3/21/25 3:06,9999T,,Closed by Other Means,Not Applicable,ONCAM,Z1,Tenth Street @ Hemphill Avenue  Z1,,,Tenth Street NW & Hemphill Avenue NW,33.781552,-84.404199
25030622,3/21/25 2:03,3/21/25 3:06,35A,Drug/Narcotic Violations,Closed by Other Means,Not Applicable,ONCAM,Z1,Tenth Street @ Hemphill Avenue  Z1,,,Tenth Street NW & Hemphill Avenue NW,33.781552,-84.404199
25030622,3/21/25 2:03,3/21/25 3:06,9999,,Closed by Other Means,Not Applicable,ONCAM,Z1,Tenth Street @ Hemphill Avenue  Z1,,,Tenth Street NW & Hemphill Avenue NW,33.781552,-84.404199
25030621,3/21/25 1:38,3/21/25 1:39,35A,Drug/Narcotic Violations,Closed by Other Means,Not Applicable,NONCAM,Z2,North Avenue @ West Peachtree Street   OFFCAM,,,North Avenue @ West Peachtree Street NW,33.771284,-84.387423
25030623,3/21/25 2:43,3/21/25 3:45,9999T,,Closed by Arrest,Not Applicable,ONCAM,Z2,,,,BRITTAIN DR NW,,
25030623,3/21/25 2:43,3/21/25 3:45,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,ONCAM,Z2,,,,BRITTAIN DR NW,,
25030614,3/20/25 1:51,3/20/25 2:50,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,ONCAM,Z1,Tenth Street @ Center Street  Z1,,,Tenth Street @ Center Street NW,33.78154,-84.402699
25030620,3/20/25 18:28,3/20/25 18:33,90J,Trespass of Real Property,Closed by Arrest,,ONCAM,Z3,Klaus Advanced Computing Building   153   Z3,266,,Ferst Drive NW,33.77716232,-84.39618136
25030618,3/20/25 10:30,nan nan,9999,,Active,,NONCAM,OFFCAM,,965,,Hemphill Ave NW,,
25030613,3/20/25 0:06,3/20/25 2:12,9999W,,Closed by Arrest,Not Applicable,NONCLERY,Z1,,,,,,
25030615,3/20/25 4:16,3/20/25 4:35,90B,Curfew/Loitering/Vagrancy Violations,Closed by Arrest,Not Applicable,ONCAMRES,Z1,Family Apartments   180   Z1,251,,Tenth Street NW,33.781993,-84.395526
25030613,3/20/25 0:06,3/20/25 2:12,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z1,,,,,,
25030616,3/20/25 5:03,3/20/25 6:20,9999W,,Closed by Arrest,Not Applicable,NONCLERY,Z2,North Avenue @ West Peachtree Street   OFFCAM,,,North Avenue @ West Peachtree Street NW,33.771284,-84.387423
25030617,3/20/25 5:50,3/20/25 7:16,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z2,North Avenue @ West Peachtree Street   OFFCAM,,,North Avenue @ West Peachtree Street NW,33.771284,-84.387423
25030617,3/20/25 5:50,3/20/25 7:16,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z2,North Avenue @ West Peachtree Street   OFFCAM,,,North Avenue @ West Peachtree Street NW,33.771284,-84.387423
25030617,3/20/25 5:50,3/20/25 7:16,90D,Driving Under the Influence,Closed by Arrest,Not Applicable,NONCLERY,Z2,North Avenue @ West Peachtree Street   OFFCAM,,,North Avenue @ West Peachtree Street NW,33.771284,-84.387423
25030612,3/19/25 16:25,3/19/25 18:21,9999MH,,Closed by Exception,Not Applicable,ONCAM,Z1,Molecular Science & Engineering Building   167   Z1,901,,Atlantic Drive NW,33.7798386,-84.39669326
25030608,3/19/25 11:45,3/19/25 12:20,23D,Theft From Building,Closed by Arrest,Not Applicable,ONCAM,Z1,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25030608,3/19/25 11:45,3/19/25 12:20,23D,Theft From Building,Closed by Arrest,Not Applicable,ONCAM,Z1,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25030608,3/19/25 11:45,3/19/25 12:20,9999,,Closed by Arrest,Not Applicable,ONCAM,Z1,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25030611,3/19/25 17:38,3/19/25 17:38,9999T,,Active,Not Applicable,ONCAM,Z1,McCamish Pavilion,965,,Fowler Street NW,33.78067585,-84.39276636
25030611,3/19/25 17:38,3/19/25 17:38,9999T,,Active,Not Applicable,ONCAM,Z1,McCamish Pavilion,965,,Fowler Street NW,33.78067585,-84.39276636
25030605,3/18/25 8:24,3/18/25 8:24,9999T,,Active,Not Applicable,PUB,Z1,,,NW,,33.781514,-84.397945
25030609,3/18/25 0:00,3/19/25 12:45,9999,,Closed by Other Means,,ONCAM,Z3,Ferst Center for the Arts,349,,Ferst Drive NW,33.77510053,-84.39921209
25030606,3/18/25 18:26,3/18/25 18:52,90B,Curfew/Loitering/Vagrancy Violations,Closed by Arrest,Not Applicable,ONCAM,Z2,Economic Development Building,760,,Spring Street NW,,
25030600,3/17/25 1:03,3/17/25 3:34,90Z,All Other Offenses,Closed by Arrest,Not Applicable,PUB,Z2,,,,NORTH AV NW & Williams St,,
25030600,3/17/25 1:03,3/17/25 3:34,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,,,,NORTH AV NW & Williams St,,
25030600,3/17/25 1:03,3/17/25 3:34,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,,,,NORTH AV NW & Williams St,,
