Case Number,Date Reported,Date/Time Occurred,Location,Incident Type,Disposition
251486,3/28/25,3/28/25 12:50,Foster Harper Hall,Theft From Coin Operated Machine Less Than $750,Open Case
251485,3/28/25,3/28/25 17:00,Bill Garrett Fieldhouse,Theft From Building Less Than $750,Open Case
251483,3/28/25,3/28/25 0:09,Global and International Studies,Stalking - Clery,Open Case
251479,3/28/25,3/22/25 13:00,Union Street/North of 10th,Theft From Motor Vehicle Less Than $750,Open Case
251475,3/28/25,3/26/25 3:17,IU Health Bloomington Hospital,Intimidation,Investigated By Other Agency
251475,3/28/25,3/26/25 3:17,IU Health Bloomington Hospital,Criminal Mischief Loss Less Than $750,Investigated By Other Agency
251474,3/28/25,3/17/25 8:00,Psychology Building,Theft From Building Less Than $750,Open Case
251473,3/28/25,3/17/25 9:00,Willkie North,Possession Marijuana/Hash Oil/Hashish/Salvia,Open Case
251472,3/28/25,3/17/25 1:50,Eagleson Ave South of 10th St,Battery No Injury,Open Case
251472,3/28/25,3/17/25 1:50,Eagleson Ave South of 10th St,Robbery,Open Case
251472,3/28/25,3/17/25 1:50,Eagleson Ave South of 10th St,Intimidation,Open Case
251471,3/28/25,3/28/25 2:00,Read Hall,Battery With Minor Injury,Referred To University Officials For Review
251471,3/28/25,3/28/25 2:00,Read Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251470,3/27/25,3/15/25 10:00,Eigenmann Hall Exterior Grounds,All Other Theft Less Than $750,Open Case
251459,3/27/25,3/27/25 2:42,Cook Hall,Burglary,Suspect Issued Trespass Warning
251459,3/27/25,3/27/25 2:42,Cook Hall,Public Intoxication By Alcohol,Suspect Issued Trespass Warning
251450,3/27/25,3/26/25 16:55,Eigenmann Hall Exterior Grounds,Aerial Voyeurism,No Arrest
251449,3/27/25,3/26/25 14:20,Ballantine Hall,Vehicle Theft,Unfounded
251444,3/26/25,3/25/25 21:00,Bill Garrett Fieldhouse,Theft From Building Less Than $750,Open Case
251443,3/26/25,3/24/25 18:30,3rd & Union Appartments Exterior Grounds,Theft From Motor Vehicle Less Than $750,Open Case
251441,3/26/25,3/26/25 9:14,Hodge Hall,Invasion Of Privacy,Suspect Arrested
251441,3/26/25,3/26/25 9:14,Hodge Hall,Resisting Law Enforcement,Suspect Arrested
251441,3/26/25,3/26/25 9:14,Hodge Hall,Criminal Trespass,Suspect Arrested
251435,3/25/25,3/24/25 19:30,Spruce Hall Exterior Grounds,Vehicle Theft,Open Case
251434,3/25/25,3/25/25 14:30,USA Exterior Grounds,All Other Theft Less Than $750,Open Case
251431,3/25/25,3/24/25 21:00,Willkie Parking Lot,Theft From Motor Vehicle Less Than $750,Open Case
251430,3/25/25,3/17/25 11:45,USA Linden Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251429,3/25/25,3/15/25 10:15,USA Cedar Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251428,3/25/25,3/15/25 10:40,McNutt Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251427,3/25/25,3/15/25 10:00,Ashton Moffat Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251426,3/25/25,3/15/25 10:30,Walnut Grove Center - Persimmon,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251425,3/25/25,3/15/25 10:30,Walnut Grove Center - Persimmon,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251424,3/25/25,3/15/25 10:30,McNutt Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251423,3/25/25,3/15/25 10:30,Walnut Grove Center - Persimmon,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251422,3/25/25,3/15/25 10:30,Teter Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251421,3/25/25,3/15/25 10:15,USA Linden Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251419,3/25/25,3/15/25 9:30,Foster Magee Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251418,3/25/25,3/15/25 9:30,Foster Harper Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251417,3/25/25,3/15/25 10:30,Foster Harper Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251416,3/25/25,3/15/25 10:30,Read Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251415,3/25/25,3/15/25 10:30,Willkie Mason Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251413,3/25/25,3/15/25 21:30,Spruce Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251412,3/25/25,3/15/25 8:45,Spruce Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251411,3/25/25,3/15/25 10:00,Forest Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251410,3/25/25,3/15/25 9:39,Willkie North,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251409,3/25/25,3/15/25 9:30,Memorial Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251408,3/25/25,3/15/25 15:30,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251407,3/25/25,3/15/25 15:15,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251406,3/25/25,3/15/25 15:00,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251405,3/25/25,3/15/25 15:30,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251404,3/25/25,3/14/25 10:30,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251402,3/25/25,3/13/25 18:00,Eigenmann Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251401,3/25/25,3/13/25 14:38,Foster Jenkinson Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251400,3/25/25,3/13/25 20:00,Eigenmann Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251399,3/25/25,3/13/25 15:20,Eigenmann Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251399,3/25/25,3/11/25 15:15,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251398,3/25/25,3/15/25 10:00,USA Linden Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251396,3/25/25,3/8/25 21:50,McNutt Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251395,3/25/25,3/8/25 21:54,McNutt Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251394,3/25/25,3/5/25 12:00,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251393,3/25/25,3/5/25 14:00,USA Linden Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251392,3/25/25,3/7/25 5:30,USA Beech Hall,Odor Of Marijuana,Failed To Locate
251390,3/25/25,3/20/25 4:34,Foster Shea Hall,Stalking - Clery,Victim Declined To Prosecute
251389,3/25/25,3/24/25 13:00,Willkie Parking Lot,Theft From Motor Vehicle Less Than $750,Open Case
251386,3/25/25,3/24/25 10:39,Eigenmann Parking Lot,Theft From Motor Vehicle Less Than $750,Open Case
251378,3/24/25,3/24/25 19:00,SRSC,Theft From Building Less Than $750,Open Case
251373,3/24/25,3/24/25 20:02,Read Hall,Stalking - Clery,Open Case
251372,3/24/25,3/14/25 12:11,Eagleson Ave South of 10th St,All Other Theft Less Than $750,No Arrest
251371,3/24/25,3/24/25 18:43,Bill Garrett Fieldhouse,Theft From Building Less Than $750,Open Case
251362,3/24/25,3/21/25 21:07,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251361,3/24/25,3/22/25 21:43,IU Health Bloomington Hospital,Possession Of Paraphernalia,Investigated By Other Agency
251360,3/24/25,3/22/25 14:55,IU Health Bloomington Hospital,Battery No Injury,Investigated By Other Agency
251360,3/24/25,3/22/25 14:55,IU Health Bloomington Hospital,Disorderly Conduct,Investigated By Other Agency
251359,3/24/25,3/22/25 9:06,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251358,3/24/25,3/20/25 1:50,IU Health Bloomington Hospital,Operating While Intoxicated,Investigated By Other Agency
251357,3/24/25,3/16/25 19:41,IU Health Bloomington Hospital,Battery No Injury,Investigated By Other Agency
251356,3/24/25,2/10/25 18:45,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251355,3/24/25,3/15/25 14:00,IU Health Bloomington Hospital,Domestic Battery Prior Conviction With Same Person,Investigated By Other Agency
251355,3/24/25,3/15/25 14:00,IU Health Bloomington Hospital,Battery On A Person Less Than 14 Years Old,Investigated By Other Agency
251355,3/24/25,3/15/25 14:00,IU Health Bloomington Hospital,Battery On A Person Less Than 14 Years Old,Investigated By Other Agency
251354,3/24/25,3/13/25 19:44,IU Health Bloomington Hospital,Battery By Bodily Waste,Investigated By Other Agency
251352,3/24/25,2/14/25 0:00,All Other Fraternity/Sorority,Domestic Battery Or Minor Bodily Injury,Referred To University Officials For Review
251351,3/24/25,3/14/25 19:41,615 E 11th,All Other Theft Less Than $750,Investigated By Other Agency
251348,3/24/25,3/24/25 8:00,Hodge Hall,Domestic Battery Or Minor Bodily Injury,Suspect Arrested
251348,3/24/25,3/24/25 8:00,Hodge Hall,Criminal Stalking,Suspect Arrested
251348,3/24/25,3/24/25 8:00,Hodge Hall,Invasion Of Privacy,Suspect Arrested
251348,3/24/25,3/24/25 8:00,Hodge Hall,Criminal Trespass,Suspect Arrested
251348,3/24/25,3/24/25 8:00,Hodge Hall,Confinement,Suspect Arrested
251348,3/24/25,3/24/25 8:00,Hodge Hall,Robbery,No Arrest
251348,3/24/25,3/24/25 8:00,Hodge Hall,Obstruction Of Justice,Suspect Arrested
251348,3/24/25,3/24/25 8:00,Hodge Hall,Criminal Mischief Loss Up To $49999,Suspect Arrested
251348,3/24/25,3/24/25 8:00,Hodge Hall,All Other Theft Up To $49999,Suspect Arrested
251348,3/24/25,3/24/25 8:00,Hodge Hall,Interference With The Reporting Of A Crime,Suspect Arrested
