Case Number,Date/Time Reported,Date/Time Occurred,Incident Type,Location,Campus,Summary,Disposition
2025-0852,3/23/25 15:54,3/23/25 15:40,Criminal Trespass,Bobst Library,Washington Square,A Campus Safety Officer reported Criminal Trespass.,Open
00928-2025,3/21/25 14:42,3/17/25 16:19,Larceny,Carlyle Court Residence Hall,Washington Square,A student reported missing property.,Closed/ Referred to Office of Student Conduct & Community Standards
2025-0818,3/20/25 16:27,3/20/25,Simple Assault,Schwartz Hall - Exterior,Kips Bay & Langone (Public property only),A student reported Simple Assault.,Closed/ Referred to NYPD
00905-2025,3/20/25 12:41,3/18/25 23:30,Larceny,Coral Towers Residence Hall,Washington Square,A student reported a Larcey.,Closed/ Referred to Office of Student Conduct & Community Standards
2025-0811,3/20/25 8:08,3/20/25 8:00,Larceny,Washington Square South & Washington Square West Intersection,Washington Square,A student reported a Larceny.,Closed/ Referred to NYPD
2025-0809,3/20/25 0:38,3/8/25 13:00,Stalking,Palladium Residence Hall,Washington Square,A student reported Stalking.,Open
00883-2025,3/19/25 13:43,9/27/24 16:00,Stalking/ Fondling/ Sexual Abuse,370 Jay Street,Brooklyn Commons,A student reported Stalking/ Fondling x2/ Sexual Abuse.,Closed/ Referred to Office of Student Conduct & Community Standards
00881-2025,3/19/25 13:30,,Stalking/ Sexual Abuse/ Fondling,370 Jay Street,Brooklyn Commons,A student reported Stalking/ Sexual Abuse/ Fondling x3.,Closed/ Referred to Office of Student Conduct & Community Standards
2025-0800,3/19/25 11:58,3/14/25 16:00,Larceny,King Juan Carlos,Washington Square,A student reported a Larceny.,Open
2025-0565,2/28/25 17:07,2/28/25 17:03,Criminal Trespass,Fairchild Building,Washington Square,A Campus Safety Officer reported Criminal Trespass.,Closed
2025-0561,2/28/25 16:40,2/28/25 16:38,Criminal Mischief,Gould Plaza,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD
2025-0559,2/28/25 14:08,2/28/25 11:00,Larceny,Silver Center,Washington Square,A student reported a Larceny.,Open
2025-0542,2/27/25 9:01,2/27/25 9:01,Disorderly Conduct,Schwartz Hall,Kips Bay,A Campus Safety Officer reported Disorderly Conduct.,Closed/ Referred to NYPD
2025-0538,2/26/25 14:40,2/24/25 22:00,Criminal Mischief,Zurich Hall,Washington Square,A staff member reported damage to property.,Closed/ Referred to NYPD
2025-0535,2/26/25 13:32,2/25/25 23:00,Found Property (reclassified from Larceny),Cantor Film Center,Washington Square,A student reported missing property.,Closed
2025-0534,2/26/25 11:30,2/21/25 14:22,Larceny,Paulson Center - Exterior,Washington Square,A Non-NYU party reported stolen property.,Open
2025-0532,2/26/25 11:05,2/13/25,Larceny,Paulson Center,Washington Square,A staff member reported missing property.,Open
2025-0530,2/26/25 8:00,2/26/25 19:36,Criminal Mischief,Barney Building,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD
2025-0523,2/25/25 17:01,2/25/25 16:30,Larceny - Embezzlement,Washington Square Park,Washington Square,A student reported a Larceny/ Embezzlement. x2,Closed
2025-0521,2/25/25 14:49,2/16/25,Criminal Mischief,Paulson Center,Washington Square,A staff member reported Criminal Mischief.,Open
2025-0513,2/24/25 16:44,2/24/25 15:00,Harassment,Lilian Vernon Center,Washington Square,A student reported Harassment.,Open
2025-0511,2/24/25 16:30,2/24/25,Harassment,3 Washington Square Village,Washington Square,A student reported Harassment.,Closed/ Referred to NYPD
2025-0510,2/24/25 15:37,2/24/25 15:20,Traffic Law Violation,Schwartz Hall - Exterior,Kips Bay,A patient reported a hit and run.,Closed/ Referred to NYPD
2025-0508,2/24/25 12:55,2/24/25 11:50,Larceny,Weinstein Hall,Washington Square,A student reported missing property.,Open
00528-2025,2/24/25 12:17,2/23/25 0:10,Dating Violence / Sexual Abuse,Gramercy Green Residence Hall,Washington Square,A staff member reported Sexual Abuse and Dating Violence.,Closed/ Referred to Office of Student Conduct & Community Standards
2025-0507,2/24/25 12:05,2/24/25 12:03,Larceny,Vanderbilt Hall - Exterior,Washington Square,A staff member reported Larceny.,Closed/ Referred to NYPD
2025-0506,2/24/25 10:34,2/24/25 10:34,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open
00536-2025,2/24/25 1:44,2/23/25 22:50,Criminal Mischief,Weinstein Residence Hall,Washington Square,An RA reported defacement of property.,Open
00523-2025,2/23/25 0:15,2/22/25 23:00,Liquor Law Violation (x15),Gramercy Green Residence Hall,Washington Square,An RA reported Liquor Law Violation.,Closed/ Referred to Office of Student Conduct & Community Standards
00517-2025,2/22/25 1:49,2/22/25 0:51,Harassment,Lafayette Hall,Washington Square,A Campus Safety Officer reported Harassment.,Closed/ Referred to NYPD
2025-0483,2/21/25 13:53,2/19/25 12:30,Larceny,1 Washington Place,Washington Square,A student reported missing property.,Open
00507-2025,2/20/25 17:55,2/18/25 15:50,Criminal Mischief,Third Avenue North Residence Hall,Washington Square,An RA reported Criminal Mischief.,Open
00504-2025,2/20/25 15:00,2/18/25 9:00,Criminal Trespass,Paulson Center,Washington Square,A Campus Safety Officer reported Criminal Trespass.,Open
2025-0473,2/20/25 13:36,1/22/25 11:00,Sale of Controlled Substance,University Hall,Washington Square,A staff member reported the sale of controlled substance.,Open
2025-0469,2/20/25 11:26,2/20/25 11:31,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Closed/ Referred to NYPD
00496-2025,2/19/25 22:45,2/19/25 19:20,Loitering,2nd Street Residence Hall,Washington Square,An RA reported Loitering.,Open
2025-0463,2/19/25 15:37,2/19/25 12:30,Larceny,Washington Square East at Washington Place,Washington Square,A student reported missing property.,Closed
00491-2025,2/19/25 15:05,2/19/25 14:00,Harassment,433 1st Avenue,Kips Bay,A student reported Harassment.,Open
2025-0460,2/19/25 12:00,2/19/25 7:00,Criminal Mischief,Weinstein Hall,Washington Square,A staff member reported Criminal Mischief.,Open
00484-2025,2/19/25 11:14,5/5/24 0:00,Rape,Hayden Hall Residence,Washington Square,An individual reported Rape.,Open
2025-0458,2/19/25 10:07,2/19/25 8:45,Harassment,Schwartz Hall,Kips Bay,A Campus Safety Officer reported Harassment.,Closed/ Referred to NYPD
2025-0457,2/19/25 9:54,2/19/25 9:20,Criminal Trespass,Paulson Center,Washington Square,A Campus Safety Officer reported a Criminal Trespass.,Open
2025-0451,2/18/25 19:00,2/18/25 16:00,Larceny,404 Lafayette Street,Washington Square,A student reported a Larceny.,Closed
2025-0449,2/18/25 14:43,2/18/25 13:00,Matter of Record (reclassified from Larceny),Schwartz Hall,Kips Bay,A staff member reported a Larceny.,Closed/ Referred to NYPD
2025-0446,2/18/25 9:33,2/18/25 8:00,Larceny,Paulson Center,Washington Square,A student reported a Larceny.,Open
