Incident Number,Date Reported,Time Reported,Incident Type,Location,Disposition,Narrative,Date/Time Occurred
250497,3/20/25,12:30,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual shoplifted.,3/20/25 12:30
250500,3/20/25,13:56,Trespassing,Forsyth Circle,Arrest,"Individual known to be trespassed located in front of Egan. Suspect, identified as Kanalu Castillo-Remuck, placed under arrest.",3/20/25 13:56
25-03-20- 004474,3/20/25,14:43,Investigate Person,Marino Center Wollaston's,Area Checked,Caller reports past shoplifter in the area.,3/20/25 14:43
250503,3/20/25,17:49,Harassment,Electronic,Report Filed,Caller reports harassing messages from known individual.,3/20/25 17:49
25-03-20- 004464,3/20/25,12:18,Investigate Premises,Midtown Hotel,Area Checked,Caller reports individual yelling in the alley.,3/20/25 12:18
25-03-20- 004459,3/20/25,11:20,OAA MV Damage,Parker St,Services Rendered,Caller reports damage to motor vehicle.,3/20/25 11:20
25-03-19- 004424,3/19/25,23:13,Investigate Premises,Kennedy Hall,Services Rendered,Caller reports odor of gas in the area.,3/19/25 23:13
25-03-19- 004355,3/19/25,4:02,Investigate Person,Snell Library Classrooms,Sent On Way,Caller reports possible intoxicated individual.,3/19/25 4:02
25-03-19- 004331,3/19/25,0:07,Noise Complaint,Cahners Hall,Area Checked,Caller reports excessive noise in the area.,3/19/25 0:07
25-03-19- 004363,3/19/25,10:39,Confiscated Property,Curry Student Center,Services Rendered,Caller reports vape pen possibly containing marijuana located.,3/19/25 10:39
250495,3/19/25,21:33,Larceny,Egan Center,Report Filed,Caller reports scooter stolen.,3/19/25 19:55
250480,3/18/25,11:50,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual shoplifted.,3/18/25 11:50
250489,3/18/25,23:05,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual shoplifted.,3/18/25 23:05
25-03-18- 004309,3/18/25,17:46,Investigate Premises,Richardson Plaza,Area Checked,Caller reports possible smoke coming from garbage can. No fire.,3/18/25 17:46
25-03-18- 004277,3/18/25,9:05,Parking Violation,St. Botolph St,Services Rendered,Caller reports illegally parked vehicle.,3/18/25 9:05
250484,3/18/25,14:17,Larceny,Lightview,Report Filed,Caller reports food delivery stolen.,3/17/25 16:30
250486,3/18/25,15:34,Malicious Destruction,Stetson West,Report Filed,Caller reports damaged exit sign.,3/18/25 15:34
25-03-17- 004222,3/17/25,13:22,Suspicious Package,Columbus Place,Services Rendered,Caller reports suspicious package.,3/17/25 13:22
250464,3/16/25,1:43,Intoxicated Person,Speare Hall,Transport To Hospital,Caller reports intoxicated individual.,3/16/25 1:43
250465,3/16/25,2:20,Trespassing,Hastings,Transport To Hospital,Caller reports trespassed individual in the area.,3/16/25 2:20
250471,3/16/25,20:27,Larceny,Snell Quad,Report Filed,Caller reports scooter stolen.,3/16/25 14:00
250468,3/16/25,14:46,Intoxicated Person,Columbus Ave,Report Filed,Caller reports intoxicated individual.,3/16/25 14:46
250453,3/15/25,3:06,Intoxicated Person,60 Belvidere St,Transport To Hospital,Caller reports intoxicated individual.,3/15/25 3:06
250452,3/15/25,3:43,A&B; Stalking,East Village,Report Filed,Caller reports past assault and being followed by known individual.,3/15/25 3:43
250461,3/15/25,23:19,Intoxicated Person,Edwards Hall,Transport To Hospital,Caller reports intoxicated individual.,3/15/25 23:19
250459,3/15/25,17:19,Malicious Destruction,Gainsborough Garage,Report Filed,Caller reports damage to exit gate.,3/15/25 16:56
25-03-15- 004126,3/15/25,19:11,Investigate Person,10 Coventry St,Services Rendered,Caller reports individual yelling in the area.,3/15/25 19:11
25-03-14- 004062,3/14/25,20:49,Investigate Premises,Stetson West,Services Rendered,Caller reports possible new damage to exit signs.,3/14/25 20:49
25-03-14- 004050,3/14/25,18:16,Investigate Person,INV,Area Checked,Caller reports individual acting strangely in the lobby.,3/14/25 18:16
25-03-14- 004036,3/14/25,13:59,Parking Violation,St. Botolph St,Services Rendered,Caller reports illegally parked vehicles.,3/14/25 13:59
25-03-14- 004059,3/14/25,20:11,Intoxciated Person,Columbus Ave,Sent On Way,Intoxicated individual located.,3/14/25 20:11
25-03-14- 004046,3/14/25,17:07,Investigate Person,West A Lo-Rise,Services Rendered,Caller reports possible sign in violation.,3/14/25 17:07
25-03-13- 003937,3/13/25,2:17,Investigate Person,Ruggles Substation,Services Rendered,Caller reports individual refusing to leave the area.,3/13/25 2:17
25-03-13- 003941,3/13/25,2:45,Fire Alarm,60 Belvidere St,Services Rendered,General fire alarm activated. No smoke or fire.,3/13/25 2:45
25-03-13- 003990,3/13/25,19:21,Noise Complaint,Dodge Hall,Area Checked,Caller reports loud noise complaint.,3/13/25 19:21
25-03-13- 003955,3/13/25,10:30,Parking Violation,St. Botolph St,Services Rendered,Caller reports illegally parked vehicle.,3/13/25 10:30
250445,3/13/25,17:14,Roommate Dispute,Lightview,Report Filed,Caller reports ongoing roommate dispute.,3/13/25 17:14
