Case Number	Date/Time Reported	Date/Time Occurred	Location	Incident Type	Disposition
P2025-00786	3/24/25 11:21	3/24/25 11:15	Lincoln Tower	Disorderly Conduct	Closed
P2025-00785	3/24/25 10:33	3/24/25 10:00	OSU East Hosptial	Disorderly Conduct	Closed
P2025-00783	3/24/25 8:11	3/23/25 20:38	Mirror Lake Eatery	Menacing	Closed
P2025-00780	3/23/25 19:51	3/22/25 21:00	Morrill Tower	Theft	Closed
P2025-00778	3/23/25 18:50	3/21/25 15:30	Taylor Tower	Theft	Open - Pending Investigation
P2025-00777	3/23/25 6:43	3/23/25 6:29	Doan Hall 	Illegal Use or Possession of Drug Paraphernalia	Closed
P2025-00776	3/23/25 2:20	3/23/25 2:20	Ohio Union South Garage	Driving While Under the Influence of Alcohol/Drugs	Open - Arrest
P2025-00775	3/23/25 1:34	3/23/25 1:34	South Union Garage	Disorderly Conduct	Closed
P2025-00774	3/22/25 3:02	3/22/25 3:02	Neil Ave. / W. Lane Ave	Riding bicycles or mobility devices on sidewalk	Closed
P2025-00772	3/22/25 0:33	3/22/25 0:33	Morrill Tower	Theft	Open - Arrest
P2025-00773	3/22/25 0:18	3/22/25 0:18	Tuttle Place at Neil Ave	Driving While Under the Influence of Alcohol/Drugs	Open - Arrest
P2025-00769	3/21/25 19:00	3/21/25 19:00	Timashev Family Music Building	Criminal Trespass	Closed
P2025-00766	3/21/25 13:24	3/21/25 13:24	Tuttle Park Place / Woody Hayes Dr.	Street Racing	Closed
CSA2025-00767	3/21/25 12:14	3/18/25 22:30	Lincoln Tower 	Theft	Closed
P2025-00765	3/21/25 11:57	3/21/25 11:57	Emergency Department - OSU Main	Possession of Drugs	Closed
P2025-00762	3/20/25 22:57	3/20/25 22:57	Morrill Tower	Theft	Closed
P2025-00760	3/20/25 15:11	11/1/24 15:11	Baker Hall - East	Criminal Mischief	Closed
P2025-00758	3/20/25 7:55	3/19/25 20:15	Thompson Library	Criminal Mischief	Closed
P2025-00757	3/19/25 21:42	3/19/25 21:42	East Side of the SAS building	Falsification	Open - Arrest
P2025-00753	3/19/25 19:12	3/19/25 14:00	OSU Wexner Medical Center Emergency Department	Aggravated Menacing	Open - Arrest
P2025-00754	3/19/25 18:44	3/18/25 21:00	Lincoln Tower bike rack	Criminal Damaging/Endangering	Closed
P2025-00752	3/19/25 15:22	3/17/25 12:00	James Cancer Hospital	Theft	Closed
P2025-00751	3/19/25 14:32	3/19/25 2:26	Parks Hall	Telecommunications Harassment	Closed
P2025-00748	3/18/25 23:57	3/18/25 23:57	Emergeny Department - OSU Main	Assault	Closed
P2025-00747	3/18/25 22:41	3/18/25 21:30	Transit Hub	Sexual Imposition	Open - Pending Investigation
