Case Number,Date/Time Reported,Date/Time Occurred,Incident Type,Location,Disposition
2502070005,2/7/25 14:49,2/7/25 11:00,Fraud/Credit Card,1303 E University Blvd,Closed
2502070004,2/7/25 8:19,2/7/25 7:36,Criminal Damage/Intentional Vandalism,910 E 5 St,Closed
2502070003,2/7/25 7:38,2/7/25 6:37,Disorderly Conduct/Other (Trespassing),1508 E Helen St,Closed
2502070002,2/7/25 4:57,2/7/25 3:36,Suspicious Activity/Person,515 N Tyndall Ave,Closed
2502070001,2/7/25 1:02,2/7/25 0:16,Liquor Laws/Minor In Possession,601 N Highland Ave,Adult University Diversion
R00026-2025,2/7/25 0:00,2/7/25 0:00,Alcohol Referral (1),601 N Highland,University Diversion
2502060009,2/6/25 22:45,2/6/25 22:45,Liquor Laws/Minor In Possession,E 4Th St & N Cherry Ave,Adult-Original Case w/Arrest
2502060008,2/6/25 18:46,2/6/25 18:46,Civil Matter/Other,N Palm Drive & E 2Nd St,Closed
2502060006,2/6/25 17:10,2/6/25 17:10,Unfounded/No Bonafide Incident,1852 E 1 St,Closed
2502060005,2/6/25 17:07,2/6/25 17:07,Unfounded/No Bonafide Incident,1852 E 1 St,Closed
2502060007,2/6/25 16:30,2/6/25 16:30,Found/Property,1641 E Enke Dr,Closed
2502060004,2/6/25 16:23,2/6/25 16:23,Stolen Property/Possession,825 East University Boulevard,Adult-Original Case w/Arrest
2502060001,2/6/25 10:00,2/6/25 10:00,Traffic & Motor Vehc Laws/Moving Violations,E 6Th St & Santa Rita Ave,Adult-Original Case w/Arrest
2502060002,2/6/25 9:50,2/6/25 9:50,Fraud/Credit Card/Lost/Property,1340 E University Blvd,Closed
2502050011,2/5/25 22:11,2/5/25 22:11,Traffic & Motor Vehc Laws/License & Registration/Arrest For Other Jurisdiction/Misd Criminl Warrant,N Vine Ave & E 1St St,Adult-Original Case w/Arrest
2502050010,2/5/25 19:40,2/5/25 19:40,Suspicious Activity/Person,1017 N Olive Rd,Closed
2502050008,2/5/25 19:29,2/5/25 19:29,Criminal Damage/Graffiti,1130 N Mountain Ave,Closed
2502060003,2/6/25 15:15,2/5/25 18:00,Other Offenses/Other Felonies,1010 N Park Ave,Pending
2502050007,2/5/25 14:48,2/5/25 14:40,Collision Report,230 N Norris Ave,Closed
2502050009,2/5/25 14:14,2/5/25 14:14,Fraud/Bogus Checks,1000 N Park Ave,Closed
2502050005,2/5/25 13:15,2/5/25 13:15,Criminal Damage/Graffiti,888 N Euclid Ave,Closed
2502050006,2/5/25 13:12,2/5/25 13:12,Found/Property,1852 E 1 St,Closed
2502050004,2/5/25 10:28,2/5/25 10:28,Criminal Damage/Graffiti,1031 N Olive Rd,Closed
2502050003,2/5/25 6:30,2/5/25 6:30,Disorderly Conduct/Other (Trespassing),1695 E Speedway Blvd,Adult-Original Case w/Arrest
2502050002,2/5/25 3:00,2/5/25 1:39,Assault/Minor Injury,822 E 5 St,Adult-Original Case w/Arrest
2502040011,2/4/25 23:04,2/4/25 23:04,Disorderly Conduct/Disturbing The Peace,1621 East 1St Street,Closed
2502050001,2/4/25 22:10,2/4/25 22:10,Non-Traffic Accident/Personal Injury,1633-1639 E 1 St,Closed
2502040009,2/4/25 21:35,2/4/25 21:35,Criminal Damage/Graffiti,1017 N Olive Rd,Closed
2502040008,2/4/25 21:32,2/4/25 21:32,Suspicious Activity/Person,1510 E University Blvd,Closed
2502040010,2/4/25 20:34,2/4/25 20:34,Larceny/All Others,515 N Tyndall Ave,Closed
2502040007,2/4/25 15:42,2/4/25 15:42,Disturbance/Peace Restored,744 N Highland Ave,Closed
2502040006,2/4/25 15:41,2/4/25 15:41,Assist Other Agency/Municipal Criminal Justice/Narcotic Drug Laws/Possession Of Paraphernalia/Disorderly Conduct/Other (Trespassing),1510 E University Blvd,Adult-Original Case w/Arrest
2502040005,2/4/25 9:00,2/4/25 9:00,Criminal Damage/Graffiti,926 North Euclid Avenue,Closed
2502040004,2/4/25 8:36,2/4/25 8:36,Criminal Damage/Graffiti,888 N Euclid Ave,Closed
2502040003,2/4/25 4:18,2/4/25 4:18,Miscellaneous/Officer,1670 E Drachman St,Closed
2502040002,2/4/25 1:24,2/4/25 1:20,Liquor Laws/Minor In Possession,1121 E 4 St,Adult University Diversion
2502040001,2/4/25 0:56,2/4/25 0:56,Disorderly Conduct/Other (Trespassing),530 N Vine Ave,Adult-Original Case w/Arrest
2502020006,2/2/25 16:45,2/2/25 16:45,Criminal Damage/Intentional Vandalism,1630 E University Blvd,Closed
2502020005,2/2/25 12:35,2/2/25 12:35,Criminal Damage/Intentional Vandalism,1103 E 2 St,Closed
2502020008,2/2/25 21:40,2/2/25 12:00,Larceny/Bicycles,1657 E Helen St,Closed
2502020007,2/2/25 20:40,2/2/25 4:00,Criminal Damage/Intentional Vandalism/Larceny/Metal Theft,250 E Valencia Rd,Closed
2502020004,2/2/25 3:18,2/2/25 3:18,Disorderly Conduct/Other (Trespassing),822 E 5 St,Closed
2502020003,2/2/25 1:46,2/2/25 1:46,Narcotic Drug Laws/Possession/Narcotic Drug Laws/Possession Of Paraphernalia,E Speedway Blvd & N Mountain Ave,Adult-Original Case w/Arrest
2502020002,2/2/25 1:22,2/2/25 1:22,Disorderly Conduct/Other (Trespassing),515 N Tyndall Ave,Closed
