Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Disposition
Attempted Fraud,25-3-OF,1/2/25 14:28,1/2/25 14:28,Blair Hall,Open Investigation
Trespassing,24-7-OF,1/4/25 6:12,1/4/25 6:12,East Pyne Hall,Open Investigation
Criminal Mischief,25-9-OF,1/6/25 17:21,1/5/25 20:30,Meadows Grad 301 Court,Open Investigation
Harassment,25-10-OF,1/7/25 10:25,1/7/25 9:55,200 Elm Drive,Open Investigation
Trespassing,25-1-AR,1/8/25 5:37,1/8/25 5:37,Chancellor Green,Arrest
Theft,25-17-OF,1/9/25 10:45,9/14/24 7:30,Shea Rowing Center,Open Investigation
Harassment,25-18-OF,1/9/25 12:01,1/8/25 18:39,Scheide Caldwell House,Open Investigation
Theft,25-23-OF ,1/12/25 12:50,12/19/24 13:00,1967 Hall,Open Investigation
Theft,25-26-OF,1/13/25 11:14,1/11/25 22:00,Woodland Way,Open Investigation
Criminal Mischief w/ Damage,25-27-OF,1/13/25 16:34,1/13/25 5:45,Parking Lot 20,Open Investigation
Criminal Mischief,25-31-OF,1/14/25 8:59,1/14/25 4:00,Bloomberg Hall,Open Investigation
Harassment,25-32-OF,1/14/25 11:27,1/11/25 22:55,Nassau Hall,Open Investigation
Trespassing,25-2-AR,1/16/25 11:56,1/16/25 11:56,Mathey Dining Hall,Arrest
Theft,25-47-OF,1/17/25 13:31,12/18/24 4:00,Meadows Grad 301 Court,Open Investigation
Harassment,25-49-OF,1/17/25 16:40,1/17/25 16:40,Wawa Parking Lot,Open Investigation
Trespassing,25-50-OF,1/17/25 14:45,1/17/25 14:45,Wyman House,Open Investigation
Trespassing,25-51-OF ,1/17/25 17:48,1/17/25 16:40,Jadwin House,Open Investigation
Trespassing,25-3-AR,1/18/25 5:33,1/18/25 5:33,East Pyne Hall,Arrest
Harassment,25-53-OF,1/18/25 14:48,1/18/25 11:05,Dining Services College Road West,Open Investigation
Extortion Attempt,25-61-OF,1/20/25 11:35,1/19/25 18:00,Meadows Grad 311 Court,Open Investigation
Service of Warrant,25-4-AR,1/21/25 15:50,1/21/25 16:22,Frist Campus Center,Arrest
Trespassing,25-5-AR,1/17/25 14:45,1/17/25 14:45,Thomas Laboratory,Arrest
Harassment,25-69-OF,1/22/25 9:29,1/15/25 8:30,Frick Chemistry Lab,Open Investigation
Harassment: Bias Incident,25-73-OF,1/22/25 20:58,1/22/25 20:15,Dillon Gym,Open Investigation
Theft,25-84-OF,1/24/25 13:47,1/23/25 16:50,42 Western Way,Open Investigation
Trespassing,25-85-OF,1/24/25 13:52,1/24/25 9:00,New South,Open Investigation
Trespassing,25-6-AR,1/25/25 2:24,1/25/25 2:24,Princeton Station & Platform,Arrest
Theft,25-98-OF,1/26/25 13:06,1/15/25 11:09,Lakeside Apartments,Open Investigation
Trespassing,25-99-OF,1/26/25 15:33,1/26/25 15:30,Whitman College,Open Investigation
Theft,25-101-OF,1/27/25 9:52,1/27/25 8:45,Dillon Gym,Open Investigation
Theft,25-106-OF,1/27/25 16:02,1/26/25 13:00,Witherspoon Hall,Open Investigation
Theft,25-108-OF,1/27/25 20:25,1/15/25 19:28,Meadows Grad 311 Court,Open Investigation
Impersonation: Identity Theft,25-113-OF,1/28/25 13:53,1/28/25 13:53,Baker Rink,Open Investigation
Harassment: Bias Incident,25-115-OF,1/28/25 15:46,1/28/25 7:00,Theater Drive Garage,Open Investigation
Trespassing,25-7-AR,1/30/25 22:46,1/30/25 22:46,Performing Arts Center,Arrest
Trespassing,25-8-AR,1/31/25 9:02,1/31/25 9:02,New South,Arrest
Harassment,25-176-OF,2/4/25 13:42,2/4/25 11:53,Wallace Hall,Open Investigation
Theft,25-187-OF,2/5/25 12:47,12/15/24 0:00,Community Hall,Open Investigation
Harassment,25-188-OF,2/5/25 12:54,1/28/25 0:00,Engineering Quad G Wing,Open Investigation
Harassment,25-189-OF,2/5/25 13:48,1/23/25 13:48,Green Hall,Open Investigation
Trespassing,25-9-AR,2/8/25 20:22,2/8/25 20:22,Chapel,Arrest
Weapons Violation,25-10-AR,2/10/25 13:10,2/10/25 13:10,Lewis Center for the Arts,Arrest
Theft,25-235-OF,2/10/25 14:46,2/10/25 11:00,Lewis Center for the Arts,Open Investigation
Theft,25-244-OF,2/11/25 15:51,1/24/25 10:00,Art Museum Store,Open Investigation
Theft,25-246-OF,2/11/25 20:40,2/11/25 15:00,Caldwell Fieldhouse,Open Investigation
Theft,25-254-OF,2/12/25 10:36,2/11/25 14:00,Dillon Gym,Open Investigation
