Incident Type,Date/Time Reported,Date/Time Occurred,Location,Disposition,Case Number
Vandalism ,2/8/25 0:00,2/8/25 12:34, Village ,Student Affairs,2500004765
 Liquor Violation ,2/8/25 0:34,2/8/25 1:04, Village ,Student Affairs,2500004772
 Motor Vehicle,2/8/25 1:07,2/8/25 16:51, New Rd ,Student Affairs,2500004834
Theft  Drug Law and,2/15/25 16:51,2/15/25 0:01, Village ,Student Affairs,2500005696
Liquor Law Violations ,, ,,, 
Drug Law and Liquor Law,2/16/25 3:43,2/16/25 3:43,Perlroth  ,Student Affairs,2500005838
Violations  Drug Law,,2/18/25 15:58, Eastview ,Student Affairs,2500006259
Violation  Threatening ,2/18/25 15:58,2/18/25 16:48, Grove ,Student Affairs,2500006261
 Vandalism ,2/19/25 16:48,2/19/25 1:19, Crescent ,Student Affairs,2500006326
 Breach of Peace ,2/21/25 1:19,2/21/25 16:25, Village ,Student Affairs,2500006665
 Liquor Law,2/21/25 16:25,2/21/25 22:11, Mountainview ,Student Affairs,2500006692
Violation  Harassment ,2/24/25 22:11,2/24/25 12:46, Commons ,Student Affairs,2500006952
 Drug Law and,3/2/25 12:46,3/2/25 1:45, Troup ,Student Affairs,2500007831
Liquor Law Violations ,, ,,, 
Harassment  ,3/4/25 8:02,3/4/25 8:02,370 Bassett Rd  ,Student Affairs,2500008156
Vandalism  ,3/7/25 9:49,3/7/25 9:49,Irma  ,Student Affairs,2500008656
Theft  ,3/7/25 15:51,3/7/25 15:51,Student Center  ,Student Affairs,2500008669
Drug Law Violation ,3/7/25 18:42,3/7/25 18:42,Whitney Village  ,Student Affairs,2500008688
Vandalism  ,3/7/25 18:43,3/7/25 18:43,Whitney Village  ,Student Affairs,2500008690
Drug Law Violation ,3/7/25 19:49,3/7/25 19:49,Crescent  ,Student Affairs,2500008702
Theft  ,3/12/25 12:04,3/12/25 12:04,North Haven Bldg 2,Student Affairs,2500009473
Breach of Peace  ,3/21/25 1:10,3/21/25 1:10,Crescent  ,Student Affairs,2500010908
Vandalism  ,3/22/25 0:00,3/22/25 0:00,Mountainview  ,Student Affairs,2500011045
Vandalism  ,3/22/25 0:00,3/22/25 2:02,Mountainview  ,Student Affairs,2500011083
Vandalism  ,3/23/25 0:55,3/23/25 0:55,Eastview Gate  ,Student Affairs,2500011217
Simple Assault  ,3/23/25 20:35,3/23/25 20:35,Hills  ,Student Affairs,2500011323
Vandalism  ,3/24/25 12:41,3/24/25 12:41,M & T Arena  ,Student Affairs,2500011447
Vandalism  ,3/24/25 13:31,3/24/25 13:31,Crescent  ,Student Affairs,2500011449
Vandalism  ,3/25/25 15:29,3/25/25 15:29,Ledges  ,Student Affairs,250011628
Vandalism  ,3/27/25 21:43,3/27/25 21:43,Ledges  ,Student Affairs,250012080
Simple Assault  Harassment ,3/28/25 21:37,3/28/25 22:14,Villages  Crescent ,Student Affairs,2500012267  2500012268 
 Liquor Law,3/29/25 22:14,3/29/25 2:00, Bakke ,Student Affairs,2500012345
Violation  Vandalism ,4/2/25 2:00,4/2/25 8:23, Hill Top Lot ,Student Affairs,2500013029
 Vandalism ,4/2/25 8:23,4/2/25 8:29, Hill Top Lot ,Student Affairs,2500013030
 Liquor Law,4/2/25 8:29,4/2/25 12:17, Bakke ,Student Affairs,2500013041
Violation  Harassment ,4/2/25 12:17,4/2/25 15:33, Public Safety HQ ,Student Affairs,2500013052
 Drug Law and,4/3/25 15:33,4/2/25 16:53, Perlroth ,Student Affairs,2500013244
Liquor Law Violations ,4:53 PM, ,,, 
Liquor Law Violation ,4/5/25 17:28,4/5/25 17:28,Recreation  Wellness Center ,Student Affairs,2500013552
Vandalism  ,4/6/25 14:38,4/6/25 14:38,Mountainview  ,Student Affairs,2500013668
Vandalism  ,4/6/25 16:29,4/6/25 16:29,Crescent  ,Student Affairs,2500013684
Breach of Peace  ,4/8/25 1:33,4/8/25 13:33,Irma  ,Student Affairs,2500013950
Drug Law Violation  Liquor Law Violation ,2/24/25 15:00,3/2/25 3:47,Crescent  Mountainview ,Drug Law Violation,33401 28701
Liquor Law Violation  ,3/17/25 23:53,,Ledges  ,Liquor Law Violation,59501- 5903
Liquor Law Violation  ,3/17/25 0:21,,Village  ,Liquor Law Violation,51301- 51302
Liquor Law Violation  Theft ,3/22/25 2:23,,Commons  Commons ,Liquor Law Violation,55401 57601
Drug Law Violation,11/23/24 19:16,11/23/24 19:16,Village,Student Affairs,2400032217
Threatening,12/2/24 8:00,12/2/24 8:00,MC Public Safety,Student Affairs,2400033862
Vandalism,12/6/24 2:49,12/6/24 2:49,Irma,Student Affairs,2400034556
Vandalism,12/6/24 3:29,12/6/24 3:29,Commons,Student Affairs,2400034559
Liquor Law Violation and Drug Law Violation,12/7/24 0:20,12/7/24 0:20,Commons,Student Affairs,2400034665
Liquor Law Violation,12/7/24 1:34,12/7/24 1:34,Commons,Student Affairs,2400034667
Burglary,12/8/24 1:50,12/8/24 1:50,New School of Business,Student Affairs,2400034869
Theft,12/8/24 7:17,12/8/24 7:17,370 Bassett Rd,Student Affairs,2400034897
Drug Law Violation,12/9/24 1:00,12/9/24 1:00,Larson,Student Affairs,2400035038
Theft,12/14/24 13:53,12/14/24 13:53,Dana,Student Affairs,2400035906
Drug Law Violation,1/22/25 22:20,1/22/25 22:20,Dana,Student Affairs,2500002422
Vandalism,1/23/25 22:17,1/23/25 22:17,Mountainview,Student Affairs,2500002550
