Case Number,Incident Type,Report Date,Date/Time Occurred,Location,Disposition
25-00007,Theft From Building,02/01/25 0315,1/31/25 17:30,,
25RC00183,Burglary By Entering Motor Vehicle,02/01/25 2253,2/1/25 15:00,,
25RC00187,Fencing - Dealing,02/03/25 0216,1/31/25 20:36,,
25RC00188,Burglary By Entering Structure,02/03/25 0847,1/31/25 22:30,,
25RC00188,Theft Of Property All Other - Non-Building,02/03/25 0847,1/31/25 22:30,,
25RC00201,Suspicious Person,02/04/25 1024,2/4/25 9:33,,
25RC00201,Possess Cds Or Analog,02/04/25 1024,2/4/25 9:33,,
25RC00201,Poss Of Drug Paraphernalia,02/04/25 1024,2/4/25 9:33,,
25RC00201,Emotionally Disturbed Person,02/04/25 1024,2/4/25 9:33,,
25RC00201,Emergency Medical Services,02/04/25 1024,2/4/25 9:33,,
25RC00202,Bad Checks - No Account,02/04/25 1528,2/3/25 0:00,,
25RC00210,Theft By Deception,02/05/25 0954,1/21/25 0:00,,
25RC00220,Theft Of Services,02/06/25 1347,1/7/25 9:10,,
25RC00231,Theft From Building,02/07/25 2252,2/7/25 19:30,,
25RC00233,Driving While Intoxicated,02/08/25 0241,2/8/25 2:10,,
25RC00234,Criminal Mischief W/Damage,02/08/25 0908,2/8/25 8:41,CLOTHIER,
25RC00237,Criminal Mischief W/Damage,02/09/25 1616,2/8/25 22:45,,
25RC00238,Credit Card Theft,02/09/25 1858,2/3/25 19:30,,
25RC00246,Threaten To Kill,02/10/25 1152,1/29/25 12:00,,
25RC00246,Poss Of Weapon With Unlawful Purpose,02/10/25 1152,1/29/25 12:00,,
25RC00246,Simple Assault Bodily Injury,02/10/25 1152,1/29/25 12:00,,
25RC00246,Criminal Mischief W/Damage,02/10/25 1152,1/29/25 12:00,,
25RC00246,Harassment,02/10/25 1152,1/29/25 12:00,,
25RC00246,False Imprisonment,02/10/25 1152,1/29/25 12:00,,
25RC00246,Strangulation-Domestic Violence Assault,02/10/25 1152,1/29/25 12:00,,
25RC00246,Criminal Trespass,02/10/25 1152,1/29/25 12:00,,
25RC00246,Robbery And Other Crime,02/10/25 1152,1/29/25 12:00,,
25RC00246,Burglary By Entering Structure,02/10/25 1152,1/29/25 12:00,,
25RC00244,Theft By Deception,02/10/25 1357,2/10/25 7:00,,
25RC00247,Credit Card Theft,02/10/25 2038,2/5/25 15:08,,
25RC00258,Theft From Building,02/11/25 2229,2/11/25 19:00,,
25RC00259,Theft From Building,02/11/25 2329,2/11/25 20:00,,
25RC00263,Defiant Trespasser,02/12/25 1051,2/12/25 10:51,SOJOURNER,
25RC00263,Criminal Mischief By Tampering,02/12/25 1051,2/12/25 10:51,SOJOURNER,
25RC00262,Defiant Trespasser,02/12/25 1100,2/12/25 11:00,,
25RC00264,2c:25-17 Domestic Violence,02/12/25 1138,2/11/25 12:11,WESSELS,
25RC00264,Crime Of Cyber-Harassment,02/12/25 1138,2/11/25 12:11,WESSELS,
25RC00265,Criminal Mischief W/Damage,02/12/25 1249,2/11/25 12:00,,
25RC00272,Theft From Building,02/12/25 2127,2/12/25 21:09,,
25RC00276,Computer Criminal Activity - Unlawful Access,02/13/25 0923,2/11/25 16:50,,
25RC00276,Theft Of Property All Other - Non-Building,02/13/25 0923,2/11/25 16:50,,
25RC00277,Found Property,02/13/25 1038,2/13/25 10:18,RUTGERS,
25RC00280,Harassment,02/13/25 1227,2/13/25 12:18,,
25RC00280,Disorderly Conduct,02/13/25 1227,2/13/25 12:18,,
25RC00281,Threaten To Kill,02/13/25 1300,11/1/23 0:00,,
25RC00281,Cyber-Harassment-Threat,02/13/25 1300,11/1/23 0:00,,
25RC00281,Impersonating A Law Enforcement Officer,02/13/25 1300,11/1/23 0:00,,
25RC00281,Criminal Restraint,02/13/25 1300,11/1/23 0:00,,
25RC00292,Driving While Intoxicated,02/14/25 0136,2/14/25 0:39,,
25RC00293,Theft Of Property All Other - Non-Building,02/14/25 0153,2/14/25 1:24,VERIZON 000169,
25RC00297,Traffic Related,02/14/25 0810,2/14/25 8:10,MCCORMICK,
25RC00297,Arrest On Warrant (Other Department),02/14/25 0810,2/14/25 8:10,MCCORMICK,
25RC00300,Unintentional Fire - Other,02/14/25 1050,2/14/25 10:26,RICHARD WEEKS,
25RC00300,Property Damage,02/14/25 1050,2/14/25 10:26,RICHARD WEEKS,
25RC00306,Theft From Building,02/14/25 1510,2/7/25 20:00,,
25RC00309,Defiant Trespasser,02/14/25 1721,2/14/25 15:53,,
25RC00309,Arrest On Warrant (Other Department),02/14/25 1721,2/14/25 15:53,,
25RC00310,Theft By Deception,02/14/25 1823,11/27/24 10:58,,
25RC00316,Harassment,02/16/25 0352,2/16/25 3:03,HEGEMAN,
25RC00316,Lost/Missing Property,02/16/25 0352,2/16/25 3:03,HEGEMAN,
25RC00319,Theft Of Property All Other - Non-Building,02/16/25 1142,2/15/25 22:30,,
25RC00322,Criminal Mischief W/Damage,02/16/25 1527,2/16/25 14:00,,
25RC00323,Theft From Building,02/16/25 1849,2/14/25 15:00,,
25RC00325,Harassment,02/16/25 2136,2/16/25 21:00,LIVINGSTON,
25RC00327,Burglary By Entering Motor Vehicle,02/17/25 0219,2/17/25 1:48,LOT 99B,Closed
25RC00330,Criminal Mischief W/Damage,02/17/25 1151,2/16/25 20:30,,
25RC00330,Burglary By Entering Motor Vehicle,02/17/25 1151,2/16/25 20:30,,
25RC00337,Theft From Building,02/17/25 1635,2/14/25 13:00,,
25RC00340,Possess/Manufact Burglar Tools,02/18/25 0217,2/18/25 1:50,,
25RC00340,Criminal Attempt,02/18/25 0217,2/18/25 1:50,,
25RC00341,Harassment,02/18/25 1010,2/18/25 9:50,,
25RC00352,Theft From Building,02/19/25 1015,2/19/25 9:57,Little Albany ST   -,
25RC00356,Crim Coer-Harm To Reputation,02/19/25 1645,7/4/24 19:03,,
25RC00356,Terroristic Threats,02/19/25 1645,7/4/24 19:03,,
25RC00356,Harassment,02/19/25 1645,7/4/24 19:03,,
