Case Number,Date/Time Reported,Incident Type,Date/Time Occurred,Location,Disposition
2025-00705,2/6/25 7:52,Theft - Theft Except Auto Thefts $200 And Over Building,1/9/25 8:00,Boyer Pavilion - On Campus,Exceptionally Cleared
2025-00717,2/6/25 15:15,Fraud - False Pretense,2/3/25 14:00,Morgan Hall North - On Campus - Residential Facility,Investigation Is Ongoing
2025-00718,2/6/25 17:21,Vandalism - Vandalism-Criminal Mischief Priv Prop $500 To $999,2/6/25 17:21,Ontario West Garage - On Campus,
2025-00726,2/6/25 23:03,Homicide - Homicide Man/Gr Neg Other Than Victim No Veh. Inv.,2/6/25 23:02,1500 Block N Carlisle Street - Public property,An Arrest Was Made
2025-00729,2/7/25 8:11,Assault - Harassment,2/7/25 7:10,Ontario West Garage - On Campus,Investigation Is Ongoing
2025-00734,2/7/25 9:38,Theft - Theft Except Auto Thefts $200 And Over Building,2/5/25 14:00,Temple University Hospital - On Campus,Investigation Is Ongoing
2025-00733,2/7/25 9:42,Vandalism - Graffiti-Vandalism Under $500,2/7/25 9:42,The Stanley Middleman Center for Jewish Life - Rohr Chabad - Patrol Jurisdiction,Investigation Is Ongoing
2025-00740,2/7/25 14:20,Assault - Other Assaults,2/7/25 14:10,CVS - Patrol Jurisdiction,Investigation Is Ongoing
2025-00742,2/7/25 14:49,Theft - Theft Under $50 Incl Attempts Buildings,2/7/25 14:30,Charles Library - On Campus,Investigation Is Ongoing
2025-00741,2/7/25 14:52,Assault - Harassment,2/7/25 14:30,Howard Gittis Student Center - On Campus,Exceptionally Cleared
2025-00748,2/7/25 18:38,Assault - Harassment,2/7/25 18:20,Avery Philly Apartments - Patrol Jurisdiction,Referred For Private Criminal Complaint
2025-00754,2/7/25 21:08,Robbery - Robbery - Highway No Weapon,2/7/25 21:00,1300 Block W Montgomery Avenue - Public property,Investigation Is Ongoing
2025-00757,2/7/25 23:29,Robbery - Robbery - Highway By Handgun,2/7/25 23:10,1200 Block W Montgomery Avenue - Public property,Investigation Is Ongoing
2025-00758,2/8/25 1:38,Theft - Theft Under $50 Incl Attempts Buildings,2/8/25 1:24,1300 Residence Hall - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-00772,2/8/25 17:33,Liquor Law - Liquor Law-Minors,2/8/25 17:33,Morgan Hall South - On Campus - Residential Facility,Referred To The Student Code Of Conduct
