Incident Type,Location,Date/Time Occurred,Date/Time Occurred to,Date/Time Reported,Dates are:,Disposition
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Halbouty Geosciences Building -
East Side Bike Racks (611 Ross
St, College Station)",3/19/25 9:00,3/24/25 9:15,3/24/25,Approximate,Active
Public Intoxication,"Tauber Street (Next to A&M
United Methodist Church)
College Station, TX",3/23/25 2:39,3/23/25 2:39,3/23/25,Approximate,Cleared by Arrest
Criminal Mischief =$100 <$750,"The Gardens J - North Side
Parking Area (302 Ball St,
College Station)",3/12/25 9:00,3/23/25 18:51,3/23/25,Approximate,Active
Duty on Striking Unattended Vehicle,"Gene Stallings Blvd Garage (500
Gene Stallings Bl, College
Station)",3/23/25 12:00,3/23/25 16:15,3/23/25,Approximate,Active
Theft Under $100 (All Other Theft),"Memorial Student Center -
Lower Level near Panda Express
(275 Joe Routt Bl, College
Station)",3/21/25 17:30,3/21/25 17:30,3/22/25,Approximate,Active
Theft of Property $100<$750 (All Other Theft),"Houston Street at Hogg Street
College Station, TX",3/22/25 15:36,3/22/25 15:36,3/22/25,Exact,Active
Kidnapping (Attempted),"Underwood Residence Hall -
North Exterior of Building (644
Mosher Ln, College Station)",3/20/25 23:00,3/21/25 0:00,3/22/25,Approximate,Active
Criminal Trespass in Habitation,"Harrington Hall-Dorm 11 (767
Military Mall, College Station)",3/21/25 1:00,3/21/25 2:00,3/22/25,Approximate,Active
"Duty on Striking Unattended Vehicle (Damages
$200 and Over)","Parking Area 40 D
906 George Bush Drive
College Station, TX",3/16/25 19:00,3/22/25 19:30,3/22/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of
Property>=$750<$2,500 (Electric Bicycle)","White Creek Apartments - Bike
Racks Between Building A and C
(225 Discovery Dr, College
Station)",3/21/25 15:30,3/22/25 18:30,3/22/25,Approximate,Active
Theft Under $100 (All Other Theft),"On Campus Between North
Houston Street and George
Bush Drive
College Station, TX",3/22/25 2:00,3/22/25 2:00,3/22/25,Approximate,Active
Theft >=$100<$750 (From Building),"Veterinary Medicine Building 1
(660 Raymond Stotzer Pw,
College Station)",3/22/25 21:59,3/22/25 21:59,3/22/25,Exact,Active
Public Intoxication,"Zachry Engineering Education
Complex - Exterior Loading Dock
(125 Spence St, College Station)",3/21/25 1:21,3/21/25 1:21,3/21/25,Approximate,Cleared by Arrest
Duty on Striking Unattended Vehicle,"Parking Area 36 C
405 TURK RD
COLLEGE STATION TX",3/16/25 6:00,3/20/25 18:00,3/21/25,Approximate,Active
"ACCIDENT INVOLVING DAMAGE TO
VEHICLE>=$200","Parking Area 97
420 John Kimbrough Blvd
College Station, TX",3/21/25 13:00,3/21/25 13:00,3/21/25,Approximate,Active
Theft >=$100<$750 (All Other),"Emerging Technologies Building
(101 Bizzell St, College Station)",3/21/25 12:40,3/21/25 13:50,3/21/25,Approximate,Active
