Case #,Incident Type,Date/Time Reported,Occurred Range,Location,Disposition
25-00614,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,3/1/25 0:05,"03/01/2025  00:05 - 3/1/25
 0:12",2424 Channing Wy; Cleary Hall,Inactive
25-00615,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,3/1/25 1:17,"03/01/2025  01:16 - 3/1/25
 1:17",2650 Durant Av; Unit-1 Deutsch,Inactive
25-00616,Found Property: Found Property,3/1/25 6:13,"03/01/2025  06:00 - 3/1/25
 6:05",North Sproul Lot,Inactive
25-00617,532(A): PC; Obtain Money/Etc By False Pretenses; Misdemeanor 518(A): PC; Extortion; Felony,3/1/25 12:37,"02/28/2025  22:00 - 2/28/25
23:00",2601 Warring St; CKC,Inactive
25-00618,Lost Prop.: Lost Property,3/1/25 12:56,"03/01/2025  12:56 - 3/1/25
12:57",Sproul Hall; UCPD,Inactive
25-00619,532(A): PC; Obtain Money/Etc By False Pretenses; Misdemeanor SUPP: Supplemental Reports,3/1/25 15:16,"03/01/2025  12:31 - 3/1/25
15:00",435 Gooding Wy; UVA-121,Active
25-00620,Found Property: Found Property,3/1/25 16:55,"02/27/2025  00:00 - 2/27/25
 0:00",2495 Bancroft Wy #Lobby; MLK Jr. Student Union,Inactive
25-00621,22651 (D): VC; Towed For Blocking Driveway;,3/1/25 17:16,3/1/25 17:16,Law Building Lot,Inactive
25-00622,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,3/1/25 23:00,"03/01/2025  23:00 - 3/1/25
23:01 - 03/02/2025  00:00  -  03/02/2025  23:59",2424 Channing Wy; Cleary Hall,Inactive
25-00623,INFO: Information Only Report,3/2/25 12:11,"03/02/2025  12:11 - 3/2/25
12:11",2700 Hearst Av; Foothill-4,Inactive
25-00624,Caslty: Injury/Illness,3/2/25 12:44,"03/02/2025  12:40 - 3/2/25
12:41",Sather Tower,Inactive
25-00625,242: PC; Battery On Person; Misdemeanor,3/2/25 13:31,"03/02/2025  13:31 - 3/2/25
13:31",2400 Durant Av; Unit-3 Dining,Inactive
25-00626,Caslty: Injury/Illness,3/2/25 13:52,"03/02/2025  13:45 - 3/2/25
13:46",2205 Piedmont Av; Maxwell Family Field,Inactive
25-00627,*OA-BPD: Outside Assist OA-THEFT: Outside Assist - Theft,3/2/25 15:18,"02/25/2025  09:00 - 2/25/25
 9:10",Bancroft Wy  & Telegraph Av,Inactive
25-00628,INFO: Information Only Report,3/2/25 13:22,*Unknown,2650 Haste St; Unit-2 Davidson,Inactive
25-00629,OA-OTHER CRIME: Outside Assist - Other Crime *Vandalism,3/2/25 16:13,"*02/28/2025  *00:00 - *3/2/25
*16:13",625 West End Wy; UVA-165,Inactive
