Case Number,Incident Type,Campus,Disposition,Date/Time Reported,Date/Time Occurred,Date/Time Occurred to,Location,
2025-0807,INTIMIDATION HARASSEMENT (NOT ON UCF CAMPUS),MAIN CAMPUS,EXC CLR - ADULT 03/07/25 09:33,,3/6/25 22:46,3/7/25 9:36,3610 LIBRA DR,
2025-0663,HAZING,MAIN CAMPUS,INACTIVE,3/7/25 15:08,2/3/25 20:00,2/24/25 3:00,4418 GREEK CT,
2025-0815,WARRANT ARREST,MAIN CAMPUS,ARREST - ADULT,3/7/25 23:45,3/7/25 22:05,3/8/25 1:38,4220 MENSA LN,
2025-0816,DUI,MAIN CAMPUS,ARREST - ADULT,3/8/25 3:52,3/7/25 23:20,3/7/25 23:23,GEMINI BLVD & LIBRA DR,
2025-0817,BATTERY (DATING VIOLENCE),MAIN CAMPUS,ARREST - ADULT,3/8/25 22:01,3/7/25 21:30,3/7/25 21:30,4291 MENSA LN,
2025-0823,PETIIT THEFT,MAIN CAMPUS,ACTIVE,3/8/25 22:59,3/7/25 22:30,3/7/25 22:30,12777 GEMINI BLVD N,
2025-0828,"BURGLARY, POSS OF BURGLARY TOOLS, CARRYING A CONCEALED WEAPON, CRIMINAL MISCHIEF, LOITERING AND PROWLING",MAIN CAMPUS,ARREST - ADULT,3/9/25 21:02,3/9/25 20:56,3/9/25 2:00,12348 GOLDEN KNIGHT CIR,
2025-0841,INDECENT EXPOSURE,MAIN CAMPUS,ARREST - ADULT,3/10/25 23:53,3/10/25 18:45,3/10/25 18:59,12701 PEGASUS DR,
2025-0852,"DUI, LIQUOR LAW VIOLATION",MAIN CAMPUS,ARREST - ADULT,3/11/25 3:02,3/11/25 3:02,3/11/25 6:00,CENTAURUS BLVD W,
2024-2611,"BATTERY ON LEO, RESISISTING LEO W/O VIOLENCE",MAIN CAMPUS,CLOSED,3/11/25 6:00,8/29/24 18:28,8/29/24 19:02,4465 KNIGHTS VICTORY WAY,
2025-0868,PETIT THEFT,MAIN CAMPUS,INACTIVE,3/11/25 17:04,3/8/25 0:00,3/11/25 15:23,4282 WEST PLAZA DR,
2025-0864,STALKING,MAIN CAMPUS,EXC CLR - ADULT 03/11/25 17:04,,1/17/25 16:35,3/11/25 4:00,4098 LIBRA DR,
2025-0869,DRUG LAW VIOLATION,MAIN CAMPUS,OPEN,3/11/25 18:45,3/11/25 16:16,3/11/25 17:24,12722 RESEARCH PKWY,
2025-0880,PETIT THEFT,MAIN CAMPUS,UNFOUNDED,3/12/25 2:40,3/11/25 21:30,3/11/25 22:20,4258 W PLAZA DR,
2025-0882,"SCHEME TO DEFRAUD (<$20,000)",MAIN CAMPUS,OPEN,3/12/25 12:23,2/10/25 0:00,3/5/25 17:00,4635 ANDROMEDA LOOP,
2025-0885,FRAUDLENT USE OF CREDIT CARD,MAIN CAMPUS,CLOSED,3/12/25 13:43,3/11/25 16:00,3/12/25 12:26,3610 LIBRA DR,
2025-0884,STALKING,MAIN CAMPUS,CLOSED,3/12/25 13:43,3/11/25 16:00,3/12/25 12:26,12701 PEGASUS DR,
2025-0900,DRUG LAW REFERRAL,MAIN CAMPUS,CLOSED,3/14/25 9:16,3/14/25 8:15,3/14/25 8:15,B9 PARKING LOT,
2025-0911,CRIMINAL MISCHIEF,MAIN CAMPUS,INACTIVE,3/14/25 12:44,3/14/25 12:44,3/14/25 13:56,PARKING LOT E2,
2025-0910,PETIT THEFT,MAIN CAMPUS,CLOSED,3/14/25 14:27,3/13/25 8:00,3/13/25 11:15,3100 TECHNOLOGY PKWY,
2025-0912,PETIT THEFT Date Range: 03/05/2025 to 05/04/2025,MAIN CAMPUS,INACTIVE,03/14/25 15:31 Daily Crime Log,3/14/25 13:00,3/14/25 13:48,12601 AQUARIUS AGORA DR ,
,,,,,,,,
2025-0919,BATTERY (FONDLING),MAIN CAMPUS,CLOSED,3/15/25 21:54,3/14/25 21:45,3/14/25 21:50,4125 URSA MINOR ST,
