Event #,Case #,Incident Type,Date/Time Reported,Date/Time Occurred,Location,Disposition
2025015595,-,FIRE ALARM,3/24/25  10:47:42AM,3/24/25  10:47:42AM,"SAWTELLE APARTMENTS, 3320 SAWTELLE BLVD",REPORT TAKEN
2025015592,-,FIRE ALARM,3/24/25  10:24:49AM,3/24/25  10:24:49AM,"GAYLEY COURT, 715 GAYLEY AVE",REPORT TAKEN
2025015580,-,PETTY THEFT REPORT,3/24/25  9:26:22AM,3/24/25  9:26:22AM,757 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025015576,-,BURGLARY ALARM,3/24/25  9:12:55AM,3/24/25  9:12:55AM,500-BLOCK PORTOLA PZ,NON-CRIMINAL MATTER
2025015574,-,POSSESSION OF A WEAPON,3/24/25  8:44:17AM,3/24/25  8:44:17AM,VENICE BLVD/OVERLAND AVE,DETAIL HANDLED: NO REPORT
2025015542,-,LOST OR STOLEN VEHICLE,3/24/25  1:50:20AM,3/24/25  1:50:20AM,555 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025015503,-,SEXUAL BATTERY REPORT,3/23/25  6:43:05PM,3/23/25  6:43:05PM,1200-BLOCK 16TH ST,REPORT
2025015502,-,SUBJECT REFUSING TO LEAVE,3/23/25  6:14:58PM,3/23/25  6:14:58PM,200 MEDICAL PZ,CANCELLED BY REPORTING PARTY
2025015500,25-0598,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,3/23/25  5:24:00PM,3/23/25  5:33:00PM,3200-BLOCK SAWTELLE BLVD,Unknown
2025015499,-,SUBJECT REFUSING TO LEAVE,3/23/25  4:58:03PM,3/23/25  4:58:03PM,1250 16TH ST,DETAIL HANDLED: NO REPORT
2025015497,-,K9 BOMB SWEEP REQUEST,3/23/25  4:24:53PM,3/23/25  4:24:53PM,301 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025015495,-,BURGLARY FROM MOTOR VEHICLE,3/23/25  4:11:08PM,3/23/25  4:11:08PM,201 DE NEVE DR,DETAIL HANDLED: NO REPORT
2025015494,25-0597,SHOPLIFTING,3/23/25  3:00:00PM,3/23/25  3:13:00PM,"ACKERMAN UNION, 308 WESTWOOD PZ",Unknown
2025015491,-,SUSPICIOUS CIRCUMSTANCES,3/23/25  2:23:47PM,3/23/25  2:23:47PM,GAYLEY AVE/STRATHMORE DR,INFORMATION ONLY
2025015482,25-0596,PEDESTRIAN STOP,3/23/25  11:01:19AM,3/23/25  11:01:19AM,"SYCAMORE COURT, 925 WEYBURN TER",OPEN CASE: TO BE ASSIGNED
2025015472,-,DISTURBING THE PEACE,3/23/25  10:12:44AM,3/23/25  10:12:44AM,11020 WEYBURN DR,WARNED OR ADVISED
2025015445,-,PATIENT WALK AWAY,3/23/25  7:32:10AM,3/23/25  7:32:10AM,757 WESTWOOD PZ,INFORMATION ONLY
2025015443,-,BURGLARY ALARM,3/23/25  6:18:04AM,3/23/25  6:18:04AM,"300-BLOCK WESTWOOD PZ, Updated as of:",Unknown
2025015431,-,MISDEMEANOR HIT AND RUN REPORT,3/23/25  2:23:47AM,3/23/25  2:23:47AM,332 DE NEVE DR,DETAIL HANDLED: NO REPORT
2025015419,25-0595,OFF CAMPUS ASSAULT,3/23/25  12:07:31AM,3/23/25  12:07:31AM,"RONALD REAGAN UCLA MEDICAL CENTER, 757 WESTWOOD PZ",OPEN CASE: TO BE ASSIGNED
2025015411,25-0594,INVESTIGATION,3/22/25  11:33:00PM,3/22/25  11:33:00PM,Restricted,Unknown
2025015408,-,SUBJECT REFUSING TO LEAVE,3/22/25  11:19:30PM,3/22/25  11:19:30PM,GAYLEY AVE/STRATHMORE DR,NON-CRIMINAL MATTER
2025015395,-,PATIENT WALK AWAY,3/22/25  10:16:58PM,3/22/25  10:16:58PM,757 WESTWOOD PZ,INFORMATION ONLY
2025015374,-,MISC PC CODE VIOLATION,3/22/25  7:37:13PM,3/22/25  7:37:13PM,280 DE NEVE DR,REPORT
2025015368,-,PATIENT WALK AWAY,3/22/25  5:40:07PM,3/22/25  5:40:07PM,757 WESTWOOD PZ,INFORMATION ONLY
2025015361,-,SUSPICIOUS CIRCUMSTANCES,3/22/25  4:01:08PM,3/22/25  4:01:08PM,619 CHARLES E YOUNG DR E,DETAIL HANDLED: NO REPORT
2025015355,-,FIRE ALARM,3/22/25  12:55:21PM,3/22/25  12:55:21PM,400-BLOCK WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025015354,-,FIRE ALARM,3/22/25  12:53:55PM,3/22/25  12:53:55PM,"ENGINEERING 4, 420 WESTWOOD PZ",REPORT TAKEN
2025015353,-,FIRE ALARM,3/22/25  12:04:17PM,3/22/25  12:04:17PM,"CALIFORNIA NANOSYSTEMS INSTITUTE (CNSI), 570 WESTWOOD PZ",REPORT TAKEN
2025015351,-,LEWD CONDUCT IN PUBLIC,3/22/25  11:49:02AM,3/22/25  11:49:02AM,100 MEDICAL PZ,DETAIL HANDLED: NO REPORT
2025015347,25-0593,PROPERTY REPORT ONLY,3/21/25  12:00:00AM,3/21/25  12:00:00AM,345 ROLFE HALL,Unknown
2025015298,-,SUSPICIOUS CIRCUMSTANCES,3/22/25  3:00:02AM,3/22/25  3:00:02AM,555 WESTWOOD PZ,INFORMATION ONLY
2025015283,-,BURGLARY ALARM,3/21/25  11:40:49PM,3/21/25  11:40:49PM,10800-BLOCK LE CONTE AVE,NON-CRIMINAL MATTER
