Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Disposition
Public Service,2503120088,3/12/25 23:41,,"Parking Lot 19, 900 Block Of University Ave",Completed
Possess Unlawful Paraphernalia (M),25-0340,3/12/25 23:39,3/12/2025 11:39 PM - 3/13/2025 12:11 AM,"University Ave//cranford Ave, 1500 Block Of University Ave",Cleared By Arrest
Carry Concealed Dirk Or Dagger (M),25-0340,3/12/25 23:39,3/12/2025 11:39 PM - 3/13/2025 12:11 AM,"University Ave//cranford Ave, 1500 Block Of University Ave",Cleared By Arrest
Cso Services,2503120078,3/12/25 21:59,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2503120077,3/12/25 21:57,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503120076,3/12/25 21:56,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2503120073,3/12/25 21:55,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503120074,3/12/25 21:55,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503120075,3/12/25 21:55,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Public Service,2503120072,3/12/25 21:23,,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Public Assist
Building Check,2503120070,3/12/25 20:49,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Building Check,2503120069,3/12/25 19:11,,"Gordon S. Watkins Hall, 900 Block Of University Ave",Completed
Call Boxes-blue Phones,2503120068,3/12/25 19:06,,"Housing Administration, 3500 Block Of Canyon Crest Dr",Completed
Building Check,2503120067,3/12/25 18:07,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Suspicious Subject,2503120065,3/12/25 17:59,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503120062,3/12/25 17:58,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503120063,3/12/25 17:58,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503120064,3/12/25 17:58,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Public Service,2503120061,3/12/25 17:51,,"Mental Health Urgent Care (Adult), 9800 Block Of County Farm Rd",Completed
Petty Theft - All Other Larceny (M),25-0339,3/12/25 11:10,3/7/2025 2:00 PM - 3/12/2025 11:10 AM,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Suspended/pending Further Leads
Information,2503120036,3/12/25 11:01,,"Parking Lot 30, 900 Block Of University Ave",Completed
911 Call,2503120034,3/12/25 10:48,,School Of Medicine Research Building,Completed
Burglary,2503120024,3/12/25 6:45,,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",False Alarm: Unknown Reason
Public Service,2503120015,3/12/25 3:21,,"Glasgow Dining, 600 Block Of Linden St",Completed
Pedestrian Check,2503120005,3/12/25 2:09,,,Warning (Verbal)
Public Service,2503110097,3/11/25 23:28,,"W. Conway Pierce Hall, 900 Block Of University Ave",Completed
Traffic Stop,2503110095,3/11/25 23:19,,,Warning (Verbal)
Public Service,2503110093,3/11/25 23:03,,"Parking Lot 19, 900 Block Of University Ave",Completed
Traffic Stop,2503110092,3/11/25 22:41,,93700 Block Of Iowa Ave,Warning (Verbal)
Building Check,2503110091,3/11/25 22:35,,"Arts Building, 900 Block Of University Ave",Completed
Cso Services,2503110087,3/11/25 21:59,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
