Incident Type,Location,Date/Time Reported,Date/Time Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Information / Theft,1554 E. 55th St. (Walgreens),1/2/25 13:30,1/2/25 13:25,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-000238
Criminal Trespass to Vehicle,850 E. 60th St. (Public Way),1/3/25 7:07,1/2/25 to 1/3/25 4:00 PM to 6:45 AM,Unknown subject(s) entered vehicle parked on the street,Open,25-00005
Battery,5656 S. Maryland (UCMED),1/3/25 15:29,12/30/24 15:25,Victim reported they were battered but declined prosecution,Ex. Cleared,25-00006
Void,Void,Void,Void,Number generated in error,Void,25-00007
Criminal Damage to Vehicle,6023 S. Ellis (Public Way),1/3/25 13:39,1/3/25 4:50 AM to 1:30 PM,Unknown subject(s) damaged victim's parked vehicle,Open,25-00008
Information / Theft,1554 E. 55th St. (Walgreens),1/3/25 15:53,1/3/25 15:50,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-000404
Theft,1554 E. 55th St. (Walgreens),1/3/25 16:01,1/3/25 16:01,A subject took merchandise from the off-campus store without paying / Suspect arrested by UCPD officers,Arrest,25-00009
Information / Theft,1346 E. 53rd St. (Target),1/3/25 16:03,1/3/25 16:00,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-000406
Theft,1346 E. 53rd St. (Target),1/3/25 17:43,1/3/25 17:43,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,25-00010
Found Property,5458 S. Ridgewood Ct.,1/3/25 21:15,1/3/25 17:43,ID cards found in possession of arrestee (25-00010) inventoried at UCPD for safekeeping,Closed,25-00011
Theft,5900 S. University (Public Way),1/3/25 20:58,1/3/25 8:56 PM to 8:58 PM,"Unattended, unsecured bookbag taken",Open,25-00012
Information / Battery,5035 S. East End,1/3/25 20:25,12/29/24 22:00,Victim reported being inappropriately touched by known subject in off-campus apartment / CPD case JH559641,CPD,2025-000431
Telephone Threat,5700 S. Maryland (CCD),1/4/25 13:03,1/4/25 12:53,Threatening phone call documented,Open,25-00013
Theft,1228 E. 53rd St. (CVS),1/5/25 0:01,1/5/25 0:00,A subject took merchandise from the off-campus store without paying / Suspect was located and arrested by UCPD officers,Arrest,25-00014
Lost Property,5656 S. Maryland (UCMED),1/5/25 15:28,12/28/24 to 12/29/24 8:00 AM to 11:59 PM,Patient reports loss of cell phone,Closed,25-00015
Information / Aggravated Assault,5528 S. Everett (Public Way),1/6/25 0:45,1/6/25 0:40,Unknown suspects fired shots in the direction of a person walking on the street off-campus / CPD case JJ105241,CPD,2025-000728
Information / Criminal Damage to Property,1503 E. Hyde Park (Nail Shop),1/6/25 5:13,1/6/25 5:10,Entry door to business damaged / CPD case JJ105307,CPD,2025-000739
Found Property,850 E. 61st St. (UCPD HQ),1/6/25 8:36,1/6/25 8:30,Cell phone found on UC Shuttle bus turned over to UCPD for safekeeping,Closed,25-00016
Information / Theft from Motor Vehicle,1441 E. 56th St. (Public Way),1/6/25 11:44,1/5/25 to 1/6/25 6:30 PM to 8:30 AM,Catalytic converter taken from 2010 Toyota Prius parked on the street off-campus / Referred to CPD,Referred,2025-000783
Criminal Damage to Vehicle,5505 S. Ellis (Parking Structure),1/6/25 18:14,1/6/25 9:30 AM to 5:50 PM,Door lock on parked vehicle damaged,Open,25-00017
DUI,5457 S. Ellis (Public Way),1/7/25 2:36,1/7/25 2:35,"Subsequent to a traffic crash, a motorist was arrested by UCPD officer for DUI",Arrest,25-00018
Lost Property,850 E. 61st St. (UCPD HQ),1/7/25 11:05,1/6/25 2:00 PM to 4:30 PM,Report of lost ID,Closed,25-00019
Theft,5530 S. Ellis (Ratner A.C.),1/7/25 12:47,1/6/25 5:00 PM to 7:00 PM,Wallet taken from unsecured locker,Open,25-00020
Theft,970 E. 58th St. (Bookstore),1/7/25 13:59,1/7/25 12:50 PM to 1:20 PM,Unattended headphones taken from table,Closed,25-00021
Information/ Theft,5320 S. Harper (Public Way),1/7/25 18:58,1/7/25 6:00 PM to 6:45 PM,Unknown person(s) took property from a vehicle parked on the street off-campus / Referred to CPD,Referred,2025-000988
Found Narcotics,5656 S. Maryland (UCMED),1/8/25 5:27,1/8/25 5:27,A UCM staff member found suspect narcotics in a patient's room / Contraband turned over to UCPD for proper disposal,Closed,25-00022
Found Property,850 E. 61st St. (UCPD HQ),1/8/25 9:25,1/8/25 9:17,Two cell phones found on UC Shuttle bus turned over to UCPD for safekeeping,Closed,25-00023
Medical Call,6025 S. Ellis (Cathey Dining Commons),1/8/25 12:02,1/8/25 12:02,A person in need of medical care was transported to UCMED by CFD EMS,Closed,25-00024
Mental Health Transport,5730 S. Drexel (Comer Hospital),1/8/25 13:25,1/8/25 13:25,A subject was transported to UCMED for evaluation,Closed,25-00025
Lost Property,6031 S. Ellis (Granville-Grossman RH),1/8/25 15:06,5/20/24 to 1/6/25 5:00 PM to 5:00 PM,A person reported a lost bicycle,Closed,25-00026
Assist Other Agency,5300 S. University (Public Way),1/8/25 15:53,1/8/25 15:53,A UCPD officer assisted CPD with the recovery of a stolen motor vehicle / CPD case,CPD,25-00027
