Report Number,Incident Type,Date/Time Reported,Date/Time Occurred,Date/Time Occured To,Location,Disposition,Disposition Change,Status,Date Entered
R250429047,Theft of Property 4th Degree,4/29/25 14:25,4/20/25 13:00,4/29/25 14:25,900 Block of University Blvd. ,Pending,,,30-Apr-25
R250429035,Harassement,4/29/25 12:17,4/29/25 12:17,4/29/25 12:17,1200 Block of Coliseum Drive ,Pending,,Inactive,30-Apr-25
R250429034,Theft of Property 2nd Degree,4/29/25 11:08,4/23/25 22:30,4/25/25 9:30,900 Block of 2nd Street ,Pending,,Inactive,30-Apr-25
R250429018,Unlawful Possession of Drug Paraphernalia,4/29/25 2:56,4/29/25 2:55,4/29/25 7:35,100 Block of Hackberry Lane ,Closed,,Cleared by non-Custodial Adult Arrest,29-Apr-25
R250429014,Unlawful Possession of Marijuana 2nd Degree & Drug Paraphernalia,4/29/25 2:56,4/29/25 2:55,4/29/25 3:50,100 Block of Hackberry Lane ,Closed,,Cleared by non-Custodial Adult Arrest,29-Apr-25
R250428043,Theft of Property 2nd Degree,4/28/25 15:50,3/12/25 14:46,4/2/25 16:05,600 Block of Capstone Drive ,Pending,4/29/25,Inactive,29-Apr-25
R250427006,Criminal Tampering 2nd Degree,4/27/25 2:26,4/27/25 2:25,4/27/25 3:00,900 Block of University Blvd. ,Pending,,,28-Apr-25
R250426005,Public Intoxication,4/26/25 0:40,4/26/25 0:39,4/26/25 0:39,1400 Block of University Blvd.,Closed,,Cleared by Adult Arrest,28-Apr-25
R250425079,Public Intoxication,4/25/25 23:09,4/25/25 23:09,4/25/25 23:09,1200 Block of University Blvd.,Closed,,Cleared by Adult Arrest,25-Apr-25
R250424078,Public Intoxication,4/24/25 19:01,4/24/25 19:00,4/24/25 19:00,300 Block of University Blvd.,Closed,,Cleared by Adult Arrest,25-Apr-25
R250424037,Burglary 3rd Degree,4/24/25 10:05,4/20/25 0:30,4/24/25 1:45,900 Block of University Blvd. ,Pending,,,25-Apr-25
R250423060,Public Intoxication,4/23/25 23:55,4/23/25 23:50,4/23/25 23:55,500 Block of Frank Thomas Ave.,Closed,,Cleared by Adult Arrest,24-Apr-25
R250423048,Giving a False Name or Address to Law Enforcement,4/23/25 19:31,4/23/25 17:45,4/23/25 19:00,100 Block of McCorvey Drive ,Pending,,,24-Apr-25
R250423005,Criminal Trespass 2nd Degree & Public Intoxication,4/23/25 1:42,4/23/25 1:42,4/23/25 2:50,1200 Block of University Blvd. ,Closed,,Cleared by Adult Arrest,23-Apr-25
R250421043,Criminal Tampering 1st Degree,4/21/25 19:56,4/21/25 19:55,4/21/25 20:03,600 Block of Abercrombie Lane ,Pending,,,22-Apr-25
R250421035,Assault With Bodily Fluids,4/21/25 17:53,1/20/25 8:00,2/20/25 23:59,600 Block of Abercrombie Lane ,Closed,4/25/25,D-Victim Refused to Cooperate,22-Apr-25
R250421031,Theft of Property 3rd Degree,4/21/25 15:40,4/21/25 13:55,4/21/25 13:55,800 Block of 5th Ave. ,Pending,,Inactive,22-Apr-25
R250421012,Unlawful Possession of Marijuana 2nd Degree & Drug Paraphernalia,4/21/25 2:02,4/21/25 2:02,4/21/25 3:34,McCorvey Drive @ 2nd Street ,Closed,,Cleared by non-Custodial Adult Arrest,22-Apr-25
R250420015,DV Harassment 3rd Degree & Criminal Mischief 2nd Degree,4/20/25 16:33,4/20/25 4:00,4/20/25 5:00,600 Block of Abercrombie Lane ,Pending,4/25/25,Inactive,21-Apr-25
R250418052,Unlawful Possession of Marijuana 2nd Degree,4/18/25 13:05,4/18/25 12:55,4/18/25 13:04,700 Block of Campus Drive ,Pending,,,21-Apr-25
R250418051,Theft of Property 4th Degree,4/18/25 13:01,4/17/25 16:30,4/18/25 9:45,900 Block of 2nd Street ,Closed,4/21/25,Unfounded,21-Apr-25
R250418009,Public Intoxication,4/18/25 1:44,4/18/25 1:40,4/18/25 1:44,1200 Block of University Blvd. ,Closed,,Cleared by Adult Arrest,18-Apr-25
R250417044,Illegal Possession or Fraudulent Use of a Credit/Debit Card,4/17/25 17:06,12/10/24 0:00,3/21/25 0:00,100 Block of Hackberry Lane ,Pending,,,18-Apr-25
R250417031,Harassing Communications,4/17/25 13:01,4/9/25 0:00,4/17/25 1:30,900 Block of Magnolia Drive ,Pending,,,18-Apr-25
R250417027,Theft of Property (Shoplifting) 4th Degree,4/17/25 11:34,4/17/25 9:35,4/17/25 9:40,700 Block of Campus Drive ,Closed,4/28/25,D-Victim Refused to Cooperate,18-Apr-25
R250417004,Public Intoxication,4/17/25 0:45,4/17/25 0:42,4/17/25 0:45,1200 Block of University Blvd.,Closed,,Cleared by Adult Arrest,17-Apr-25
R2504160223,Criminal Mischief (Willfully Damaging or Tampering with Vehicle),4/16/25 8:58,4/16/25 8:57,4/16/25 8:57,300 Block of Kirkbride Lane ,Closed,4/28/25,D-Victim Refused to Cooperate,17-Apr-25
R250415055,Unlawful Possession of Marijuana 2nd Degree,4/15/25 22:09,4/15/25 22:09,4/15/25 22:09,1200 Block of University Blvd. ,Closed,,Cleared by non-Custodial Adult Arrest,16-Apr-25
R250415010,Public Intoxication,4/15/25 2:18,4/15/25 2:18,4/15/25 3:19,600 Block of Red Drew Ave.,Closed,,Cleared by Adult Arrest,16-Apr-25
R250413036,DV Criminal Mischief & DV Harassment,4/13/25 17:19,4/13/25 17:05,4/13/25 17:19,1200 Block of University Blvd.,Closed,,Cleared by Adult Arrest,14-Apr-25
R250412085,Unlawful Possession of Marijuana 2nd Degree,4/12/25 20:46,4/12/25 20:46,4/12/25 20:46,900 Block of University Blvd. ,Closed,,Cleared by non-Custodial Adult Arrest,14-Apr-25
R250412063,Weapons-Minor in Possession of a Firearm,4/12/25 17:23,4/12/25 17:26,4/12/25 17:51,100 Block of McCorvey Drive ,Closed,,Cleared Juvenile Arrest,14-Apr-25
R250412055,Motor Vehicle Exhibition of Speed & Attempting to Elude Law Enforcement,4/12/25 16:36,4/12/25 16:36,4/12/25 16:36,800 Block of University Blvd.,Closed,4/22/25,Cleared by Adult Arrest,14-Apr-25
R250412047,Theft of Property 4th Degree,4/12/25 14:38,4/12/25 14:38,4/12/25 14:38,900 Block of Paul W. Bryant Drive ,Closed,4/16/25,Unfounded,14-Apr-25
R250412046,Unlawful Possession of Marijuana 2nd Degree,4/12/25 14:37,4/12/25 14:37,4/12/25 15:15,500 Block of Red Drew Ave.,Closed,,Cleared by non-Custodial Adult Arrest,14-Apr-25
R250412040,Assault 3rd Degree,4/12/25 13:20,4/11/25 22:20,4/11/25 22:30,400 Block of University Blvd. ,Pending,,,14-Apr-25
R250412013,Public Intoxication,4/12/25 1:54,4/12/25 1:50,4/12/25 1:53,1400 Block of University Blvd. ,Closed,,Cleared by Adult Arrest,14-Apr-25
