Case Number,Date/Time Reported,Date/Time Occurred,Incident Type,Location,Disposition
2503210008,3/21/25 20:09,3/21/25 16:09,Other Offenses/Other Misdemeanors,N Park Ave & N Santa Rita Ave,Closed
2503210007,3/21/25 20:17,3/21/25 14:16,Larceny/Shoplifting,1209 E University Blvd,Closed
2503230006,3/23/25 16:07,3/21/25 13:00,Miscellaneous/Officer,500 N Highland Ave,Closed
2503210006,3/21/25 13:02,3/21/25 12:00,Found/Property,N Warren Ave & E 7Th St,Closed
2503210005,3/21/25 9:41,3/21/25 8:59,Mental Health/Other,880 E 4Th St,Closed
2503210004,3/21/25 8:50,3/21/25 8:31,No-Traffic Accident/Property Damage,12943 North Dapple Dr,Closed
2503210003,3/21/25 4:46,3/21/25 2:10,Liquor Laws/Minor In Possession,E 1St St & Vine Ave,
2503210002,3/21/25 3:33,3/21/25 0:21,Liquor Laws/Minor In Possession,1010 N Park Ave & E 2Nd St,Adult University Diversion
2503220004,3/22/25 17:04,3/21/25 0:00,Larceny/From Motor Vehicle,907 E 8Th St,Closed
2503210001,3/21/25 2:19,3/20/25 23:53,Criminal Damage,1010 N Park Ave & E 2Nd St,Closed
2503200016,3/20/25 22:46,3/20/25 22:42,Liquor Laws/Minor In Possession,1701 N Warren Ave & N Martin Ave,Closed
2503200018,3/21/25 1:31,3/20/25 22:41,Liquor Laws/Minor In Possession,822 E 4Th St,Adult University Diversion
2503200017,3/20/25 23:44,3/20/25 22:23,Suspicious Activity/Other,1339 N Mountain Ave & N Highland,Closed
2503200015,3/21/25 3:02,3/20/25 22:10,Criminal Damage/Intentional Vandalism,1340 E 2 St,Active
2503220005,3/22/25 15:24,3/20/25 22:00,Disorderly Conduct/Other (Trespassing),907 E 8Th St,Closed
2503200013,3/20/25 23:00,3/20/25 21:15,Other Offenses/Other Misdemeanors,1614 E First St,Closed
2503200014,3/20/25 21:28,3/20/25 20:50,Larceny/All Others,1400 E 6 St,Closed
2503200012,3/20/25 21:09,3/20/25 18:00,Larceny/From Motor Vehicle,1140 E Speedway Blvd &E Helen St,Closed
2503200011,3/20/25 20:36,3/20/25 17:32,Criminal Damage/Intentional Vandalism,1140 E Speedway Blvd &E Helen St,Active
2503200009,3/20/25 21:02,3/20/25 17:21,Suspicious Activity/Other,1501 E Adams St & E Lee St,Closed
2503200010,3/20/25 20:40,3/20/25 16:46,Disorderly Conduct/Other (Trespassing),1400 E 6 St,Arrest
2503200008,3/20/25 14:50,3/20/25 14:45,Found/Property,1852 E 1 St,Closed
2503200006,3/20/25 15:59,3/20/25 14:20,Assault/No Injury,1401 E University Blvd,Active
2503200007,3/20/25 16:02,3/20/25 14:14,Larceny/Bicycles,1400 E 6 St,Closed
2503200005,3/20/25 15:01,3/20/25 13:25,Disorderly Conduct/Other (Trespassing),1303 E University Blvd,Arrest
2503200004,3/20/25 14:27,3/20/25 13:00,Burglary/Forcible Entry,4040 N Campbell Ave,Closed
2503200003,3/20/25 12:05,3/20/25 8:37,Mental Health/Transported To Treatment Facility,1129 N Fremont Ave & N Santa Rita Ave,Closed
2503200002,3/20/25 10:52,3/20/25 7:34,Assist Other Agency/Municipal Criminal Justice,1740 N Warren Ave,Closed
2503200001,3/20/25 4:07,3/20/25 3:33,Criminal Damage/Intentional Vandalism,621 N Highland Ave,Closed
2503190007,3/19/25 22:57,3/19/25 20:40,Sex Offenses/Exposure,,
2503190008,3/19/25 21:49,3/19/25 20:40,Sex Offenses/Exposure,,
2503190006,3/19/25 16:51,3/19/25 16:22,Lost/Property,,
2503190005,3/19/25 20:45,3/19/25 15:51,Runaway Juvenile/From Parent Or Guardian,,
2503190003,3/19/25 15:07,3/19/25 15:00,Found/Property,,
2503190004,3/19/25 20:14,3/19/25 13:00,Assist Other Agency/County Criminal Justice,,
2503190002,3/19/25 10:33,3/19/25 9:43,Burglary/Attempted Forcible Entry,,
2503180006,3/18/25 22:38,3/18/25 21:22,Criminal Damage,1511 E 6 St,Closed
2503180005,3/18/25 18:35,3/18/25 18:36,Larceny/All Others,1703 E Mabel St,Closed
2503180003,3/18/25 9:47,3/18/25 8:09,Non-Traffic Accident/Personal Injury,1401 N Mountain Ave & N Highland,Closed
2503180004,3/18/25 9:49,3/18/25 8:00,Found/Property,1303 E University Blvd,Closed
2503180002,3/18/25 8:59,3/18/25 7:51,Traffic & Motor Vehc Laws/License & Registration,E 6Th St & N Highland Ave,
2503180001,3/18/25 2:30,3/18/25 2:04,Other Offenses/Kidnapping,E 4Th St & Santa Rita Ave,Active
2503170010,3/17/25 19:21,3/17/25 19:00,Criminal Damage/Intentional Vandalism,910 E 5 St,Closed
2503170009,3/18/25 0:00,3/17/25 17:14,Suspicious Activity/Other,888 N Euclid,Active
2503170006,3/17/25 16:17,3/17/25 15:00,Found/Property,1852 E 1st ST,Closed
2503170008,3/17/25 13:45,3/17/25 13:45,Lost/Property,1224 E Lowell St,Closed
2503170002,3/17/25 11:33,3/17/25 10:50,Suspicious Activity/Other,450 S Tucson Blvd,Closed
2503170004,3/17/25 13:10,3/17/25 10:00,Found/Property,E 1St St & N Mountain Ave,Closed
2503170001,3/17/25 4:38,3/17/25 3:58,Public Assist/Check Welfare,1440 E 4th ST,Closed
R00049-2025,3/17/25 0:00,3/17/25 0:00,Drug Referral (3),Unknown,University Diversion
2503160002,3/16/25 23:09,3/16/25 21:33,Gta/Stolen/Larceny/From Motor Vehicle,2440 East Glenn Street,Closed
2503170005,3/17/25 13:44,3/16/25 19:00,Criminal Damage/Intentional Vandalism,621 N Highland Ave,Closed
2503160001,3/16/25 13:48,3/16/25 10:30,Criminal Damage/Intentional Vandalism,1625 E 7Th St,Closed
R00048-2025,3/17/25 0:00,3/16/25 0:00,Alcohol Referral (1),Unknown,University Diversion
2503150004,3/15/25 16:36,3/15/25 16:15,Criminal Damage/Graffiti,615 N Park Ave,Closed
2503150003,3/15/25 14:55,3/15/25 13:40,Narcotic Drug Laws/Possession,1013 E University Blvd,Closed
2503150002,3/15/25 9:53,3/15/25 5:20,Criminal Damage/Malicious Mischief,1597 E 16 St,Closed
2503150001,3/15/25 0:26,3/14/25 23:50,Found/Property,1140 N Park Ave,Closed
2503150005,3/15/25 22:14,3/14/25 17:00,Larceny/Bicycles,910 E 5 St,Closed
2503170003,3/17/25 12:02,3/14/25 10:00,Criminal Damage/Intentional Vandalism,2130 E Allen,Closed
2503140001,3/14/25 1:29,3/14/25 0:44,Criminal Damage/Intentional Vandalism,615 N Park Ave,Closed
2503130007,3/13/25 19:07,3/13/25 16:30,Traffic & Motor Vehc Laws/License & Registration/Warrants/Misdemeanor,James E Rogers & Park,Arrest
2503130005,3/13/25 14:19,3/13/25 13:53,Larceny/All Others,1018 E South Campus Dr,Closed
2503130006,3/13/25 16:04,3/13/25 12:35,Larceny/From Residence,515 N Tyndall Ave,Closed
2503178001,3/13/25 12:15,3/13/25 12:15,Larceny/Bicycles,822 E 5 St,Closed
2503130004,3/13/25 13:50,3/13/25 10:41,Suspicious Activity/Person,1041 E Lowell St,Closed
2503130003,3/13/25 13:26,3/13/25 8:05,Unfounded/No Bonafide Incident,4040 E Roger Rd & E Limberlost Dr,Closed
2503130002,3/13/25 7:49,3/13/25 7:03,Criminal Damage/Intentional Vandalism,1103 E University Blvd,Closed
2503130001,3/13/25 5:01,3/13/25 3:16,Burglary/Forcible Entry,3740 E 34Th St,Closed
2503120003,3/12/25 22:35,3/12/25 20:56,Disorderly Conduct/Other (Trespassing),1501 N Campbell,Arrest
2503120002,3/12/25 16:19,3/12/25 14:55,Lost/Property,1510 E University Blvd,Closed
2503120001,3/13/25 0:00,3/12/25 7:54,Agency Assist/County Jurisdiction,1750 E Benson Hwy,Closed
2503190001,3/19/25 13:31,3/12/25 7:00,Aggravated Assault/Peace Officer/Non-Serious Injuryassault/Resisting Arrest,,
2503110009,3/11/25 17:58,3/11/25 16:50,Larceny/Shoplifting,1610 N Stadium Wy & N National Championship Dr,Arrest
2503110008,3/11/25 18:23,3/11/25 16:41,Criminal Damage/Graffiti,1209 N Park Ave & N Mountain Ave,Closed
2503110007,3/11/25 15:22,3/11/25 15:00,Found/Property,527 N National Championship Dr,Closed
2503110006,3/11/25 14:34,3/11/25 13:44,Criminal Damage/Intentional Vandalism,1145 E 4 St,Closed
2503110003,3/11/25 12:24,3/11/25 12:08,Found/Property,430 N Warren Ave,Closed
2503110002,3/11/25 12:00,3/11/25 10:00,Traffic & Motor Vehc Laws/License & Registration,E Speedway Blvd & Plumer Ave,Arrest
2503110001,3/11/25 3:45,3/11/25 0:46,Narcotic Drug Laws/Possession X2/Narcotic Drug Laws/Possession Of Paraphernalia X2,977 East Speedway Boulevard,Arrest
R00047-2025,3/12/25 0:00,3/11/25 0:00,Alcohol Referral (2),Unknown,University Diversion
2503100006,3/10/25 23:51,3/10/25 22:52,Disorderly Conduct/Other (Trespassing),640 N Vine,Arrest
2503100005,3/10/25 22:12,3/10/25 21:50,Found/Property,1009 E James E. Rogers Way,Closed
2503100004,3/10/25 21:15,3/10/25 20:30,Assist Other Agency/Municipal Criminal Justice,830 East 7Th Street,Closed
2503100003,3/10/25 15:51,3/10/25 15:45,Assist Other Agency/County Criminal Justice,2290 West Ina Road,Closed
R00046-2025,3/10/25 0:00,3/10/25 0:00,Drug Referral (1),822 E 5th St,University Diversion
2503100001,3/10/25 4:04,3/9/25 23:55,Narcotic Drug/Poss/Paraphernalia/Arrest For Other Jurisdiction/Misd Warrants X7,Speedway/Park,Arrest
2503090005,3/9/25 23:29,3/9/25 15:38,Miscellaneous/Public,430 E 7Th St & E 6Th St,Closed
2503090004,3/9/25 13:25,3/9/25 12:30,Suspicious Activity/Vehicle,1200 North Campbell Avenue,Closed
2503090003,3/9/25 13:00,3/9/25 12:10,Non-Traffic Accident/Property Damage,1000 N Park Ave,Closed
2503090002,3/9/25 6:06,3/9/25 0:59,Dui/Property Damage Only Accident/Criminal Damage,E 7Th St And E Euclid Ave,Arrest
CSA032325001,3/23/25 0:00,3/9/25 0:00,Sexual Assault - Rape,Unknown,Closed
2503090001,3/9/25 4:12,3/8/25 23:55,Assault/Minor Injury,E 2Nd St And N Cherry Ave,Closed
2503080002,3/9/25 2:02,3/8/25 22:15,Narcotic Drug Laws/Possession Of Paraphernalia,E 7Th S & Cherry Ave,Arrest
2503080001,3/8/25 21:32,3/8/25 18:28,Criminal Damage,1115 E 7 St,Closed
2503100002,3/10/25 12:40,3/8/25 0:00,Criminal Damage/Graffiti,888 N Euclid Ave,Closed
2503070008,3/7/25 23:26,3/7/25 23:26,Sick Cared For/Transported To Medical Facility,1121 E 4 St,Closed
2503070009,3/7/25 23:32,3/7/25 23:00,Larceny/Bicycles,1130 N Mountain Ave,Closed
2503070007,3/7/25 22:23,3/7/25 21:14,Other Vehicle Accidents/Other,N Ark Ave & E 2Nd St,Closed
2503070006,3/7/25 16:12,3/7/25 15:37,Other Offenses/Other Misdemeanors,575 N Highland Ave,Active
2503110005,3/11/25 13:59,3/7/25 13:30,Burglary/Forcible Entry/Criminal Damage/Intentional Vandalism,900 N Martin Ave,Closed
2503070005,3/7/25 8:51,3/7/25 8:30,Criminal Damage/Intentional Vandalism,1115 E 7 St,Closed
2503070004,3/7/25 7:44,3/7/25 6:40,Liquor Laws/Minor In Possession,1117 E Lowell St,Arrest
2503070003,3/7/25 10:21,3/7/25 5:43,Disorderly Conduct/Disturbing The Peace/Warrants/Misdemeanor,1501 N Campbell Ave,Arrest
2503070002,3/7/25 4:59,3/7/25 3:11,Criminal Damage,602 N Highland Ave,Adult University Diversion
2503070001,3/7/25 3:26,3/7/25 3:04,Suspicious Activity/Person,570 E 6Th St & E 4Th St,Closed
2503060010,3/6/25 23:05,3/6/25 22:30,Weapons Violations,822 E 5 St,Active
2503060009,3/6/25 19:33,3/6/25 18:49,Found/Property,1670 N Cherry Ave,Closed
2503060008,3/6/25 19:40,3/6/25 17:47,Fraud/Credit Card,1 N National Champion Dr,Closed
2503060007,3/6/25 16:03,3/6/25 15:42,Larceny/All Others,1510 E University Blvd,Closed
2503060006,3/6/25 14:37,3/6/25 14:15,Larceny/All Others,1130 N Mountain Ave,Closed
2503060005,3/6/25 11:29,3/6/25 11:15,Criminal Damage,1018 E South Campus Dr,Closed
2503060004,3/6/25 10:00,3/6/25 9:11,Found/Property,1311 E 4Th St,Pending
2503060003,3/6/25 8:58,3/6/25 8:45,Criminal Damage/Graffiti,1025 N Olive Rd,Closed
