Ca Number,Incident Type,Date/Time Occurred,Date/Time Reported,Location,Disposition
MP 25-703643,Hit and Run-Unattended Vehicle,3/20/25 12:40,3/24/25,2022 1st St S,Reported
MP 25-71660,Assault,3/22/25 17:07,3/24/25,2312 6th St S,Reported
MP 25-72446,CSCM-Fondling,3/23/25 19:19,3/24/25,524 23rd Ave S,Reported
MP 25-72017,Assault,3/22/25 9:40,3/24/25,4th St  & 15th Ave ,Reported
UM 25-072277,Assault,03/23/2025 0212,3/23/25,302 15th Ave ,Closed
UM 25-072507,Miscellaneous,03/21/2025 1700,3/23/25,2601 University Ave ,Closed
UM 25-072743,Hit/Run Property Damage Report,03/23/2025 1733,3/23/25,13th Ave  / University Ave,Closed
UM 25-073012,Violate Handicap Parking,03/23/2025 2215,3/23/25,21 11th Ave ,Closed
UM 25-071185,Driving After Revocation,03/22/2025 0051,3/22/25,20th Ave  / Talmage Ave ,Closed
UM 25-071210,Assault / Terroristic Threats,03/22/2025 0116,3/22/25,26th Ave  / Esx St ,
UM 25-071565,Damage to Property Report,03/22/2025 1444,3/22/25,1212 4th St ,
UM 25-071591,Property Damage Accident Report,03/22/2025 1520,3/22/25,1925 University Ave ,Closed
UM 25-071905,Non-Vehicular Accident,03/22/2025 2020,3/22/25,4th St  / Oak St ,Closed
UM 25-070367,Trespass,03/21/2025 1017,3/21/25,128 Pleasant St ,Closed
UM 25-070477,Damage to Property Report,03/07/2025 0001,3/21/25,56 River Pkwy East,Inactive
UM 25-070492,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,03/21/2025 1301,3/21/25,University Ave  / Oak St ,
UM 25-070527,Bike Theft,03/19/2025 1600,3/21/25,417 Walnut St ,
UM 25-070623,Obstruct Legal Process,03/21/2025 1528,3/21/25,2601 University Ave ,Arrest
UM 25-070684,Miscellaneous,03/21/2025 1641,3/21/25,1027 University Ave ,Closed
UM 25-070695,Trespass,03/21/2025 1651,3/21/25,615 Washington Ave ,Closed
UM 25-070793,Miscellaneous,03/21/2025 1547,3/21/25,419 Erie St ,Closed
UM 25-070799,Violate Handicap Parking,03/21/2025 1815,3/21/25,701 15th Ave ,Closed
UM 25-070905,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / No Valid Driver's License,03/21/2025 2031,3/21/25,University Ave  / 15th Ave,Closed
TC25-036,Fondling,2/21/25,3/20/25,Territorial Hall,Reported
TC25-037,Stalking,2/20/25 8:45,3/20/25,Frontier Hall,Reported
UM 25-069437,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,03/20/2025 1103,3/20/25,Cleveland Ave N / Knapp St,Closed
UM 25-069438,No Valid Driver's Licen,03/20/2025 1103,3/20/25,University Ave  / Church St,Closed
UM 25-069698,Hit / Run Property Damage,03/20/2025 1608,3/20/25,401 Oak St ,Inactive
UM 25-069737,Recover Property,03/20/2025 1637,3/20/25,321 Church St ,Closed
UM 25-069820,Theft,03/19/2025 0530,3/20/25,420 Washington Ave ,Inactive
UM 25-070081,Impound Abandoned Vehicle,03/20/2025 2235,3/20/25,1811 5th St ,Closed
UM 25-068462,Undetermined Fire,03/19/2025 1014,3/19/25,1862 Dudley Ave,Closed
UM 25-068584,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft / Theft,03/19/2025 1030,3/19/25,207 Pleasant St ,Inactive
UM 25-068625,Theft,03/19/2025 1319,3/19/25,301 19th Ave S,
UM 25-068709,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report / Driving After Revocation / No Proof of Insurance,03/19/2025 1630,3/19/25,University Ave  / 10th Ave,Closed
UM 25-068717,Crisis Intervention,03/19/2025 1644,3/19/25,326 17th Ave ,Closed
UM 25-068776,Theft,03/16/2025 0630,3/19/25,1046 27th Ave ,Inactive
TC25-033,Liquor Law Violation,3/16/25 2:00,3/19/25,Territorial Hall,Disciplinary Referral
TC25-034,Liquor Law Violation,3/14/25 1:45,3/19/25,Frontier Hall,Disciplinary Referral
TC25-035,Dating Violence x3,3/14/25,3/19/25,Radius Apartments,Reported
UM 25-068099,Driving While Intoxicated,03/18/2025 0207,3/19/25,1024 27th Ave ,Arrest
UM 25-067229,Auto Theft,03/18/2025 0517,3/18/25,1021 29th Ave ,Inactive
UM 25-067246,Damage to Property Report,03/05/2025 1130,3/18/25,2904 Fairmount St ,Inactive
UM 25-067266,Damage to Property Graffiti,03/18/2025 0100,3/18/25,100 Church St ,
UM 25-067392,Theft,03/06/2025 1000,3/18/25,412 22nd Ave S,Inactive
UM 25-067692,Miscellaneous,03/18/2025 1711,3/18/25,500 Harvard St ,Closed
UM 25-067841,Non-Vehicular Accident,03/18/2025 1922,3/18/25,1800 University Ave ,Closed
UM 25-067056,No Valid Driver's Licen / No Proof of Insurance,03/17/2025 2349,3/18/25,4th St  / 10th Ave ,Closed
UM 25-066222,Extortion / Blackmail,03/14/2025 2300,3/17/25,417 Walnut St ,Inactive
UM 25-066453,Criminal xual Conduct-Rape,03/16/2025 0300,3/17/25,7463 Melody Dr,Jurisdiction Transfer
UM 25-066524,Damage to Property Report,03/03/2025 0000,3/17/25,689 23rd Ave ,
UM 25-066632,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,03/17/2025 1430,3/17/25,207 Pleasant St ,Inactive
UM 25-066641,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,03/17/2025 1501,3/17/25,321 19th Ave S,
UM 25-066093,Health Welfare Hold / Traffic Law Enforcement,03/17/2025 0153,3/17/25,University Ave  / 27th Ave,Closed
MP 25-065529,Damage to Property,03/14/2025  1000,3/16/25,2450 Riverside Ave,Reported
UM 25-065138,Warrant,03/16/2025 0038,3/16/25,10th Ave  / 4th St ,Arrest
UM 25-065192,Miscellaneous,03/16/2025 0152,3/16/25,4th St  / 16th Ave ,Closed
UM 25-065210,Driving After Revocation / No Insruance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,03/16/2025 0212,3/16/25,1309 4th St ,Closed
UM 25-065494,Health Welfare Hold,03/16/2025 1307,3/16/25,500 Harvard St ,Closed
UM 25-065684,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,03/15/2025 0300,3/16/25,417 Walnut St ,Inactive
UM 25-065870,Trespass,03/16/2025 2017,3/16/25,615 Washington Ave ,Closed
UM 25-064448,Health Welfare Hold,03/15/2025 1205,3/15/25,311 11th Ave ,Closed
UM 25-064542,Miscellaneous,03/15/2025 1250,3/15/25,701 15th Ave ,Closed
UM 25-064829,Extortion / Blackmail,03/10/2025 1317,3/15/25,1122 University Ave ,Inactive
UM 25-064842,Warrant / U of Force,03/15/2025 2004,3/15/25,1400 Block University Ave ,Arrest
UM 25-064935,Driving While Intoxicated,03/15/2025 2140,3/15/25,Central Ave  / 2nd St ,Jurisdiction Transfer
UM 25-063175,Driving After Revocation,03/14/2025 0937,3/14/25,Washington Ave  / Harvard St,Closed
UM 25-063212,Warrant,03/14/2025 1023,3/14/25,29th Ave  / Intercampus Transitway,Closed
UM 25-063345,Theft,03/13/2025 1830,3/14/25,689 23rd Ave ,Inactive
UM 25-063437,Miscellaneous,03/13/2025 2140,3/14/25,1320 4th St ,Closed
UM 25-063491,Impound Abandoned Vehicle,03/14/2025 1522,3/14/25,515 Delaware St ,Closed
UM 25-063627,Driving After Cancellation,03/14/2025 1712,3/14/25,University Ave  / 26th Ave,Closed
UM 25-064036,Trespass,03/14/2025 2247,3/14/25,89 Church St ,Arrest
UM 25-063103,Trespass,03/14/2025 1045,3/14/25,200 Oak St ,Arrest
UM 25-061946,Posssion of Stolen Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,03/13/2025 0259,3/13/25,1122 Brooke Ave ,
UM 25-062603,Warrant,03/13/2025 1757,3/13/25,2301 University Ave ,Arrest
UM 25-061901,Trespass,03/12/2025 0119,3/13/25,501 Washington Ave ,Closed
UM 25-042798,Miscellaneous,02/21/2025 0021,3/12/25,417 Walnut St ,Closed
UM 25-061022,Stolen Property Offen / Tamper with Motor Vehicle / Recovered Vehicle / Warrant,03/12/2025 0903,3/12/25,815 Cedar Ave S,
UM 25-061154,Assault / Warrant,03/12/2025 1205,3/12/25,Oak St  / Washington Ave,
UM 25-061223,Flee Police on Foot / Recovered Vehicle,03/12/2025 1318,3/12/25,Cedar Ave S / 6th St S,
UM 25-061264,Trespass,03/12/2025 1358,3/12/25,515 Delaware St ,Closed
UM 25-060036,Trespass,03/11/2025 0950,3/11/25,501 Washington Ave ,Closed
UM 25-060303,Driving After Revocation,03/11/2025 1400,3/11/25,15th Ave  / 5th St ,Closed
UM 25-060474,Miscellaneous,03/11/2025 2126,3/11/25,421 Washington Ave ,Closed
UM 25-060603,Bike Theft,03/11/2025 1000,3/11/25,515 Delaware St ,Inactive
UM 25-058911,Damage to Property,03/10/2025 0300,3/10/25,2001 Bloomington Ave,
UM 25-058925,Damage to Property,03/06/2025 1600,3/10/25,321 S 19th Ave,
UM 25-059150,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,03/10/2025 0600,3/10/25,401 Oak St ,Inactive
UM 25-059178,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,03/10/2025 1030,3/10/25,111 Church St ,Inactive
UM 25-059279,Recover Property,03/09/2025 1200,3/10/25,213 Oak St ,Closed
UM 25-059324,Driving After Revocation / No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,03/10/2025 1546,3/10/25,4th St  / 17th Ave ,Closed
UM 25-059425,Driving After Revocation,03/03/2025 1724,3/10/25,505 Washington Ave ,Closed
UM 25-059658,Narcotics Violation,03/10/2025 2117,3/10/25,10th Ave  / 6th St ,
UM 25-058750,Crisis Intervention,03/10/2025 0012,3/10/25,300 19th Ave S,Closed
UM 25-058175,Hit/Run Property Damage,03/08/2025 2154,3/9/25,410 Church St ,
UM 25-058337,Traffic Law Enforcement / Assist Other Agency,03/09/2025 1608,3/9/25,University Ave  / 30th Ave,Closed
UM 25-058381,Recover Property,03/09/2025 1652,3/9/25,315 14th Ave ,Closed
UM 25-058582,Narcotics Violation,03/09/2025 2019,3/9/25,University Ave W / Cromwell,
UM 25-058585,Health Welfare Hold,03/09/2025 2026,3/9/25,400 21st Ave S,Closed
UM 25-058614,Illegal U of Teargas / Warrant,03/09/2025 2112,3/9/25,390 29th Ave ,
UM 25-056973,Miscellaneous,03/07/2025 2316,3/8/25,500 Harvard St ,Closed
UM 25-057515,Harassment,03/08/2025 1703,3/8/25,500 Havard St ,
UM 25-057736,Traffic Law Enforcement / No Proof of Insurance / Driving After Revocation,03/08/2025 2055,3/8/25,University Ave  / 14th Ave,
TC25-032,Theft,3/3/25 21:00,3/7/25,Sanford Hall,Reported
UM 25-056112,Theft from Building,03/07/2025 0604,3/7/25,615 Fulton St ,
UM 25-056174,Damage to Property,03/06/2025 1200,3/7/25,421 Washington Ave ,
UM 25-056204,Theft,01/28/2025 1100,3/7/25,222 Pleasant St ,Inactive
UM 25-056220,Theft by Swindle,03/07/2025 0941,3/7/25,505 Washington Ave ,Inactive
UM 25-056725,Trespass,03/07/2025 1838,3/7/25,1212 4th St ,Closed
UM 25-056925,Miscellaneous,03/07/2025 2219,3/7/25,2301 6th St ,Closed
UM 25-056965,Trespass,03/07/2025 2309,3/7/25,1420 Eckles Ave,Closed
UM 25-056001,Driving After Suspension,03/07/2025 0046,3/7/25,Transitway / 30th Ave ,Closed
UM 25-055578,Impound Abandoned Vehicle,03/06/2025 1541,3/6/25,19th Ave S / Washington Ave S,Closed
UM 25-055450,Miscellaneous,03/06/2025 1150,3/6/25,7th St  / 15th Ave ,Closed
UM 25-055779,Trespass,03/06/2025 1834,3/6/25,615 Washington Ave ,Closed
UM 25-055009,Damage to Property Report,03/05/2025 0701,3/5/25,501 Washington Ave ,Inactive
TC25-027,Theft,3/2/25 16:30,3/6/25,Yudof Hall,Reported
TC25-028,Stalking,February 2025 - Prent,3/6/25,Sanford Hall,Reported
TC25-029,Stalking,2022-2023,3/6/25,Territorial Hall,Reported
TC25-030,Liquor Law Violation,3/2/25 3:15,3/6/25,Territorial Hall,Disciplinary Referral
