Case Number,Incident Type,Case Number.1,Location,Date/Time Reported,Date/Time Occurred,Disposition
63306765105,Shoplifting $250 or Less,25-0282,UNM Hospital - UNMH Hospital,3/24/25,3/24/25 11:51,Inactive
63303932526,Criminal Damage Over $1000,25-0281,It Building,3/24/25,3/21/25 17:00,Closed
63293749921,Burglary Commercial  2202,25-0278,Popejoy Hall - 62,3/23/25,3/22/25 11:45,Cleared by Arrest
63293749921,Breaking & Entering,25-0278,Popejoy Hall - 62,3/23/25,3/22/25 11:45,Cleared by Arrest
63291427545,,25-0279,Casas Del Rio Iii - Pecos - 93,3/23/25,3/23/25 0:26,Disposition Pending
63276486405,Abuse/Abandonment of Dependent,25-0276,Cpc Admin - Children'S Psychiatric Center Admin Building - 236A,3/21/25,3/21/25 14:39,Closed
63276926675,Battery Upon a Healthcare Worker,25-0277,Mhc Admin/Activity - Mental Health Center - 299B,3/21/25,3/21/25 18:24,Sent to the DA
63255633322,Criminal Trespass,25-0275,Popejoy Hall - 62,3/20/25,3/20/25 4:26,Closed
63252522609,Criminal Trespass Notice,25-0274,G Lot,3/20/25,3/20/25 2:19,Closed
63164752687,Agg Battery Upon a Healthcare Worker,25-0244,UNM Hospital - UNMH Hospital,3/19/25,3/13/25 0:51,Cleared by Arrest
63246809301,Battery Upon a Healthcare Worker,25-0272,Mhc Mental Health Center - New Side,3/19/25,3/19/25 11:19,Closed
63249573883,,25-0273,Cpc Capitan - Children'S Psychiatric Center Capitan Cottage - 240,3/19/25,3/19/25 17:19,Closed
63223923667,Assault/Battery Health Care Worker,25-0268,Mhc Admin/Activity - Mental Health Center - 299B,3/18/25,3/18/25 1:38,Disposition Pending
63230852424,Battery (Non-Household Member),25-0269,UNM Hospital - UNMH Hospital,3/18/25,3/17/25 15:50,Closed
63234895212,Graffiti-Persnl Real Prty Ls $1000,25-0267,Art - 84,3/18/25,3/17/25 17:53,
63234024491,,25-0270,500 Block of ELM ST NE,3/18/25,3/18/25 14:49,Disposition Pending
63221411208,Criminal Trespass Notice,25-0266,Johnson Center - 59,3/17/25,3/17/25 16:12,Closed
63215841624,,25-0255,University Arena - The Pit - 302,3/17/25,3/14/25 18:14,Closed
63221811580,,25-0264,UNMH University Of New Mexico Hospital,3/17/25,3/16/25 20:13,Closed
63221590939,,25-0265,Technology & Education Center - 64,3/17/25,3/17/25 17:11,Closed
63207410829,Criminal Trespass,25-0258,Bookstore - 102,3/16/25,3/15/25 18:30,Cleared by Arrest
63205534450,Agg Battery (Non-Household Member),25-0261,Alvarado Hall Dormitory - 157,3/16/25,3/16/25 4:37,Active
63208503527,Larceny-All Other Ov $250/Less $500,25-0259,Coronado Hall Dormitory - 155,3/16/25,3/15/25 4:47,
63208478750,Criminal Damage Under $1000,25-0263,Bookstore - 102,3/16/25,3/16/25 11:35,Closed
63208432320,Battery Upon a Healthcare Worker,25-0262,UNM Hospital - UNMH Hospital,3/16/25,3/16/25 17:35,Closed
63196639882,,25-0257,Cpc Commons - Children'S Psychiatric Center Commons And Service Bldg - 243,3/15/25,3/14/25 0:30,Closed
63198077468,,25-0256,Johnson Center - 59,3/15/25,3/14/25 20:40,Closed
63184257943,,25-0252,University Arena - The Pit - 302,3/14/25,3/13/25 18:07,Closed
63186091040,Child Abuse W/O GBH or Death,25-0254,University Arena - The Pit - 302,3/14/25,3/14/25 14:50,Sent to the DA
63186091040,Aggravated Battery/Subsection B,25-0254,University Arena - The Pit - 302,3/14/25,3/14/25 14:50,Sent to the DA
63168476841,,25-0247,University Arena - The Pit - 302,3/13/25,3/13/25 9:02,Closed
63166854229,Criminal Trespass Notice,25-0245,College Of Education,3/13/25,3/13/25 5:18,Closed
63164831614,Use Phone to Threaten (2nd Ofns),25-0243,Casas Del Rio Iii - Pecos - 93,3/13/25,3/12/25 23:48,Closed
63172328009,Auto Theft/Unlawful Take MV 1st Ofns,25-0249,UNM Cancer Center,3/13/25,3/13/25 15:53,Closed
63167260309,,25-0246,Sub - Student Union Building - 60,3/13/25,3/13/25 7:38,Closed
63173054087,Assault Upon A Healthcare Worker,25-0251,Mhc Mental Health Center - New Side,3/13/25,3/13/25 17:20,Cleared by Arrest
63173054087,Battery HHM DV,25-0251,Mhc Mental Health Center - New Side,3/13/25,3/13/25 17:20,Cleared by Arrest
63168873895,,25-0248,"Casas Del Rio I - Chama
  - 91",3/13/25,3/13/25 10:45,Closed
63173553662,,25-0253,Mhc Inpatient - Mental Health Center - 299C,3/13/25,3/13/25 16:18,Closed
63159574378,,25-0242,Sub - Student Union Building - 60,3/12/25,3/12/25 13:01,Closed
63156139689,Poss of CC Stolen/Lost/Mislaid,25-0240,Coronado Hall Dormitory - 155,3/12/25,3/12/25 4:28,Cleared by Arrest
63156139689,Criminal Trespass,25-0240,Coronado Hall Dormitory - 155,3/12/25,3/12/25 4:28,Cleared by Arrest
63156139689,Resist/Evad/Obstruct Any Ofc,25-0240,Coronado Hall Dormitory - 155,3/12/25,3/12/25 4:28,Cleared by Arrest
63157808721,Aggravated Assault with Deadly Weapon,25-0241,Duck Pond,3/12/25,3/12/25 9:33,Cleared by Arrest
63149281777,Robbery - No Weapon,25-0238,100 Block of CORNELL DR SE,3/11/25,3/11/25 17:25,Closed
63146222083,Criminal Damage Under $1000,25-0234,Asap - Addiction And Substance Abuse Program,3/11/25,3/11/25 13:12,Closed
63149605336,Battery HHM DV,25-0239,Santa Clara Hall Dormitory - 61,3/11/25,3/2/25 3:00,Cleared by Arrest
63148118977,Robbery - No Weapon,25-0236,Mitchell Hall - 23,3/11/25,3/11/25 16:13,Closed
63148351043,Larceny - Miscellaneous Under $250,25-0235,Casas Del Rio Ii - Jemez - 92,3/11/25,3/11/25 16:33,Disposition Pending
63144734693,Criminal Damage Under $1000,25-0233,Lobo Village,3/11/25,3/10/25 20:00,Closed
63148418272,,25-0237,Casas Del Rio Ii - Jemez - 92,3/11/25,3/11/25 16:28,Closed
26988,Liquor Law Violation: Disciplinary Referral,00186-2025,Zia Dorm Hokona,3/10/25,3/7/25 22:08,Referred for Admin
63128967733,,25-0230,UNMpd - UNM Police Dept,3/10/25,2/18/25 9:46,Closed
63130854119,,25-0231,UNM Hospital - UNMH Hospital,3/10/25,3/10/25 13:00,Active
63116397443,,25-0228,UNMH University Of New Mexico Hospital,3/9/25,3/9/25 3:55,Closed
63118666207,Larceny - Miscellaneous Under $250,25-0229,Santa Clara Hall Dormitory - 61,3/9/25,3/8/25 10:45,Closed
63114189044,Warrant Extradition,25-0227,UNMpd,3/9/25,3/8/25 22:26,Cleared by Arrest
63101795814,Unlawful Poss Handgun (under 19)  5212,25-0221,UNM Hospital - UNMH Hospital,3/8/25,3/8/25 1:13,Sent to the DA
63109774350,Auto Burglary,25-0226,A/E Lot - Central & Girard,3/8/25,3/8/25 18:38,Disposition Pending
63109549709,Battery Upon a Healthcare Worker,25-0224,W Lot Children'S Psychiatric Center,3/8/25,3/8/25 12:10,Sent to the DA
63103650003,Battery (Non-Household Member),25-0222,Coronado Hall Dormitory - 155,3/8/25,3/8/25 2:39,Sent to the DA
63103650003,Battery (Non-Household Member),25-0222,Coronado Hall Dormitory - 155,3/8/25,3/8/25 2:39,Sent to the DA
63107434843,,25-0223,Sub - Student Union Building - 60,3/8/25,3/8/25 7:32,Closed
63076388429,Criminal Trespass Notice,25-0220,Art - 84,3/7/25,3/6/25 21:38,Closed
63028373472,Auto Burglary,25-0216,I Lot,3/5/25,3/3/25 12:04,Closed
63032215652,Criminal Trespass Notice,25-0217,Popejoy Hall - 62,3/5/25,3/5/25 10:26,Closed
63036474356,,25-0218,Casas Del Rio Iii - Pecos - 93,3/5/25,3/5/25 10:35,Closed
63038184648,,25-0219,Mesa Vista Hall - 56,3/5/25,3/5/25 11:17,Closed
