Date/Time Reported,	Case Number,	Incident Type,	Location,	Disposition,
4/30/25	2025-02012	Assault	3300 Chestnut St	Active
4/29/25	2025-02004	Burglary	3600 Sansom St	Active
4/28/25	2025-01996	Retail Theft	4233 Chestnut St	Active
4/28/25	2025-01987	Theft From Building	3409 Walnut St	Active
4/28/25	2025-01986	Theft From Building	3650 Chestnut St	Active
4/28/25	2025-01985	Auto Theft	209 S 33rd St	Active
4/28/25	2025-01984	Theft From Building	240 S 31st St	Active
4/28/25	2025-01982	Theft Other	3932 Pine St	Active
4/27/25	2025-01980	Retail Theft	4233 Chestnut St	Active
4/27/25	2025-01979	Robbery Retail-gun	4233 Chestnut St	
4/27/25	2025-01978	Theft From Building	4239 Baltimore Ave	Active
4/26/25	2025-01977	Retail Theft	4233 Chestnut St	Active
4/26/25	2025-01976	Retail Theft	4233 Chestnut St	Active
4/26/25	2025-01975	Retail Theft	4233 Chestnut St	Active
4/26/25	2025-01974	Theft From Vehicle	200 S 42nd St	Active
4/25/25	2025-01973	Retail Theft	4233 Chestnut St	Active
4/28/25	2025-01971	Theft From Building	51 N 39th St	Active
4/27/25	2025-01964	Bike Theft	4201 Walnut St	Active
4/26/25	2025-01946	Assault	3909 Spruce St	
4/26/25	2025-01945	Theft Other	233 S 33rd St	Active
4/26/25	2025-01942	Sex Offense	4000 Spruce St	
4/26/25	2025-01935	Auto Theft	3400 Spruce St	Active
4/26/25	2025-01933	Theft From Building	3935 Walnut St	Active
4/26/25	2025-01931	Retail Theft	3744 Spruce St	Active
4/25/25	2025-01922	Theft From Building	233 S 33rd St	Active
4/25/25	2025-01921	Theft From Building	231 S 33rd St	Active
4/25/25	2025-01911	Retail Theft	3744 Spruce St	Active
4/25/25	2025-01908	Aggravated Assault-gun	3800 Locust Walk	
4/24/25	2025-01896	Assault	4001 Walnut St	Active
4/24/25	2025-01893	Theft Other	3100 Walnut St	Active
4/23/25	2025-01875	Theft Other	3600 Walnut St	Active
4/23/25	2025-01872	Retail Theft	3744 Spruce St	Active
4/23/25	2025-01868	Vandalism	113 S 40th St	Active
