Incident Type,Case Number,Date Reported,Location,Date/Time Reported,Date/Time Occurred,Disposition,Description
LARCENY/THEFT FROM TRAFFIC / DRIVING UNDER INFLUENCE,2500589,4/30/25,Unknown Location,4/30/25 1:53,4/30/25 4:22,CLEARED BY,information is being gathered for possible An arrest has been made in this case and
Not Specified,2500586,4/30/25,749 SUMTER ST/GREENE ST,4/30/25 1:16,4/30/25 1:32,ARREST ADMINISTRATIVELY,is being referred to the local judicial system. This incident is not being followed up on
DRUG/NARCOTICS VIOLATION,2500585,4/30/25,1532 HARDEN ST/TAYLOR ST,4/30/25 0:04,,CLOSED am ADMINISTRATIVELY,at this time either because there is not enough information to move forward or this type of case does not require additional action. At any time this case could be referred for additional action if This incident is not being followed up on
"DRUG/NARCOTICS VIOLATION, DRUG MOTOR VEHICLE THEFT",2500584,4/29/25,1400 ROSEWOOD DR/S BULL ST 614 BULL ST 1551 BLOSSOM ST,4/28/25   9:00 pm 4/29/25   3:17 pm,4/29/25   4:50 pm 4/29/25   3:17 pm,CLOSED ACTIVE CLEARED BY,at this time either because there is not enough information to move forward or This case is active and additional An arrest has been made in this case and
DRUG EQUIPMENT,2500581,4/29/25,290 BULL ST,4/29/25 14:30,4/29/25 15:30,ARREST ACTIVE,is being referred to the local judicial This case is active and additional
VANDALISM / DESTRUCTION,2500582,4/29/25,1014 GREENE ST,10/1/24 14:45,4/29/25 14:45,ACTIVE,information is being gathered for possible This case is active and additional
HARASSMENT - TELEPHONE BURGLARY/B&E,2500580,4/29/25,506 HUGER ST,4/27/25   1:56 am 4/29/25   3:34 am,4/27/25   1:56 am 4/29/25   3:34 am,ACTIVE CLEARED BY,information is being gathered for possible This case is active and additional An arrest has been made in this case and
DRUG EQUIPMENT VIOLATIONS,2500578,4/29/25,936 SUMTER ST/PENDLETON ST,4/29/25 1:47,4/29/25 1:47,ARREST CLEARED BY,is being referred to the local judicial system. An arrest has been made in this case and
"TRAFFIC / DRIVING UNDER INFLUENCE, ALCOHOL / LIQUOR LAW VIOLATION",2500577,4/29/25,530 LINCOLN ST/BLOSSOM ST 315 ASSEMBLY ST,4/29/25 1:30,4/29/25 1:50,ARREST ADMINISTRATIVELY,is being referred to the local judicial system. This incident is not being followed up on
DRUG/NARCOTICS,2500576,4/26/25,509 LINCOLN ST,4/26/25 21:06,4/26/25 21:06,CLOSED ADMINISTRATIVELY,at this time either because there is not This incident is not being followed up on
VANDALISM / DESTRUCTION,2500569,4/26/25,,4/26/25 1:44,4/26/25 1:44,CLOSED CLEARED BY,at this time either because there is not An arrest has been made in this case and
"TRAFFIC / DRIVING UNDER INFLUENCE, DRUG/NARCOTICS",2500567,4/25/25,540 GREENE ST/PULASKI ST 709 BULL ST,4/25/25 20:44,4/25/25 20:44,ARREST ADMINISTRATIVELY,is being referred to the local judicial system. This incident is not being followed up on
DRUG/NARCOTICS VIOLATION,2500566,4/25/25,701 ASSEMBLY ST,4/22/25 8:00,4/25/25 16:42,CLOSED ADMINISTRATIVELY,at this time either because there is not enough information to move forward or this type of case does not require additional action. At any time this case could be referred for additional action if This incident is not being followed up on
VANDALISM / DESTRUCTION OF PROPERTY,2500564,4/25/25,900 ASSEMBLY ST,4/25/25 13:00,4/25/25 13:00,CLOSED ADMINISTRATIVELY,at this time either because there is not enough information to move forward or this type of case does not require additional action. At any time this case could be referred for additional action if This incident is not being followed up on
DRUG/NARCOTICS,2500563,4/25/25,,4/24/25 0:08,,CLOSED am ADMINISTRATIVELY,at this time either because there is not This incident is not being followed up on
DRUG/NARCOTICS VIOLATION ASSAULT / SIMPLE ASSAULT,2500562,4/24/25,926 BLUFF RD/GEORGE ROGERS BLVD 801 LINCOLN ST,4/24/25 22:20,4/24/25  10:40 pm ACTIVE,CLOSED,at this time either because there is not enough information to move forward or this type of case does not require additional action. At any time this case could be referred for additional action if This case is active and additional
Not Specified,2500559,4/24/25,1405 WHALEY ST,4/24/25 17:12,4/24/25 17:12,CLEARED BY,information is being gathered for possible criminal and or University disciplinary action. An arrest has been made in this case and
DRUG/NARCOTICS,2500558,4/24/25,902 BARNWELL ST,4/24/25 11:00,4/24/25 16:00,ARREST ACTIVE,is being referred to the local judicial This case is active and additional
LARCENY/THEFT FROM MOTOR VEHICLE THEFT,2500557,4/24/25,1415 GREENE ST,4/23/25 12:00,4/24/25 13:15,ADMINISTRATIVELY,information is being gathered for possible This incident is not being followed up on
Not Specified,2500555,4/24/25,,4/24/25 2:50,4/24/25 2:50,CLOSED CLEARED BY,at this time either because there is not enough information to move forward or this type of case does not require additional action. At any time this case could be referred for additional action if An arrest has been made in this case and
"DRUG/NARCOTICS VIOLATION, DRUG TRAFFIC / DRIVING UNDER INFLUENCE",2500551,4/24/25,999 ASSEMBLY ST/PENDLETON ST,4/24/25 0:53,4/24/25  12:53 am CLEARED BY,ARREST,is being referred to the local judicial system. An arrest has been made in this case and
TRAFFIC / DRIVING UNDER INFLUENCE,2500549,4/24/25,2032 DEVINE ST/HARDEN ST,4/24/25 2:14,4/24/25 4:10,ARREST CLEARED BY,is being referred to the local judicial system. An arrest has been made in this case and
Not Specified,2500550,4/24/25,2100 BULL ST/LAUREL,4/24/25 3:23,4/24/25 3:23,ARREST ADMINISTRATIVELY,is being referred to the local judicial system. This incident is not being followed up on
DRUG/NARCOTICS VIOLATION,2500552,4/23/25,1250 HARDEN ST/LADY ST,4/23/25 22:20,,CLOSED pm ADMINISTRATIVELY,at this time either because there is not enough information to move forward or this type of case does not require additional action. At any time this case could be referred for additional action if This incident is not being followed up on
DRUG/NARCOTICS VIOLATION,2500548,4/22/25,1400 FLORA ST/S SUMTER ST 614 BULL ST,4/22/25 22:49,,CLOSED pm ADMINISTRATIVELY,at this time either because there is not enough information to move forward or this type of case does not require additional action. At any time this case could be referred for additional action if This incident is not being followed up on
HARASSMENT - TELEPHONE,2500544,4/22/25,,4/22/25 22:59,,CLOSED pm ADMINISTRATIVELY,at this time either because there is not This incident is not being followed up on
DRUG/NARCOTICS VIOLATION,2500543,4/21/25,1142 DEVINE ST/MAIN ST,4/20/25 20:28,4/20/25 20:28,CLOSED CLEARED BY,at this time either because there is not enough information to move forward or this type of case does not require additional action. At any time this case could be referred for additional action if An arrest has been made in this case and
"DRUG/NARCOTICS VIOLATION, DRUG",2500535,4/20/25,949 ROSEWOOD DR,4/20/25 22:47,,ARREST pm ADMINISTRATIVELY,is being referred to the local judicial system. This incident is not being followed up on
