Incident #,Date/Time Reported,Date/Time Occurred,Incident Type,Location,Disposition
25-027,3/21/25 23:49,3/21/25 23:49,Vehicle Prowl,1953 C St,Reported
25-026,3/20/25 19:09,3/20/25 18:26,Malicious Mischief,1704 Pacific Ave,Arrest
25-025,3/19/25 19:10,3/19/25 19:00,Fire Alarm,1702 Broadway,Closed
25-024,3/17/25 20:30,3/17/25 20:17,Vehicle Prowl,Ct. D and S 19th St,
25-023,3/17/25 5:41,3/17/25 5:41,Agency Assist,17th and Market Streets,Closed
25-021,3/14/25 6:50,3/14/25 4:10,Malicious Mischief,1745 Jefferson,Closed
25-020,3/13/25 18:45,3/13/25 18:45,Fire Alarm,1907 Jefferson,Unfounded
25-019,3/6/25 22:34,3/6/25 22:34,Malicious Mischief,1953 C ST,Closed
25-017,2/25/25 15:20,2/25/25 15:20,Malicious Mischief,1702 Broadway,Closed
25-016,2/24/25 6:26,2/24/25 6:25,Information Report,1900 Commerce,Closed
25-015,2/23/25 10:00,2/21/25 20:06,Burglary,1710 Market St.,
25-012,2/11/25 10:00,2/11/25 9:20,Motor Vehicle Theft,17th & CT C,Reported
25-011,2/9/25 12:30,2/9/25 11:30,Vehicle Prowl,1700 Jefferson,Reported
25-010,2/9/25 4:59,2/9/25 4:59,Vehicle Prowl,19th St. and CT D St,Closed
25-008,2/5/25 21:27,2/5/25 20:52,Reckless Burning,1944 Pacific Ave,Closed
