Case#,Date/Time Reported,Incident Type,Location,Date/Time Occurred,Disposition
2025-00 000124,1/3/25,Domestic Violence *(VAWA-Violation of Protection Order),700 Washington Street NW,1/3/25 15:10,CBA
2025-00 000198,1/5/25,Driving Under the Influence of Alcohol,E. Roanoke Street and Washington,1/5/25 1:22,CBA
2026294 601,12/19/24,Underage Possession of Alcohol *(Dis Referral- Liquor Law),720 W. Washington (AJ Hall),12/19/24,Inactive-Referred by Student Conduct
2026297 801,12/19/24,Underage Possession of Alcohol *(Dis Referral- Liquor Law),180 Kent Street (Vawter Hall),12/19/24,Inactive- Referred by Student Conduct
2025-00 000476,1/10/25,Vandalism,206 Barger Street,1/10/25 9:55,Inactive
Carilion PD,1/10/25,Larceny- Theft of bicycle,"2 Riverside Circle Roanoke, VA",1/10/25 13:45,Active- Case # 2.02501E+13
2024-00 019231,1/15/25,Trespass -Ban Letter,2000 Kraft Drive,1/15/25 9:30,Inactive
2025-00 000805,1/16/25,Failure to Comply - Fire Alarm,570 Washington Street,1/16/25 1:23,Inactive- Referred to Student Conduct
2025-00 000784,1/15/25,Reckless Driving,Washington Street (Cassell Aud),1/15/25 17:17,Inactive-Referred to Student Conduct
Alexandr ia PD,1/14/25,Larceny- Theft from Building,3625 Potomac Ave (Innovation),1/9/25,Inactive-Referred to Alexandria PD
2025-00 000861,1/17/25,Fraud by Computer,370 Drillfield,1/17/25 7:34,Active
2025-00 000897,1/17/25,Bank Fraud/Identity Theft,2020 Kraft Drive SW,1/17/25 11:13,Active
2025-00,1/17/25,Public Intoxication,185 Kent Street,1/17/25 23:09,CBA
000936 2025-00,1/18/25,Public Intoxication,Draper Road/Washington,1/18/25 1:01,CBA
000945 2025-00,1/18/25,Public Intoxication,110 Draper Road,1/18/25 22:30,CBA
001010 2025-00,1/19/25,Driving Under the Influence of Alcohol,185 Wall Street,01/19/205 47,CBA
001020 2025-00,1/19/25,Public Intoxication,206 Giles Road,1/19/25 2:19,CBA
001025 2025-00,1/19/25,Vandalism,201 Ag Quad Hall (Slusher),01/18-01/19/ 02:00,Active
001028 2025-00,1/20/25,Possession of False ID,185 Kent Street,2025 1/20/2025 00:15,Inactive
001074 2025-00,1/20/25,Underage Possession of Alcohol x4*(Dis,185 Kent Street,1/20/25 0:15,Inactive -Referred to
