Criminal Offenses,Year,Non Residential Facility,Residential Facility,Non Campus Building or Property,Public Property
Murder,2020,0,0,0,0
Murder,2021,0,0,0,0
Murder,2022,0,0,0,0
Non-negligent manslaughter,2020,0,0,0,0
Non-negligent manslaughter,2021,0,0,0,0
Non-negligent manslaughter,2022,0,0,0,0
Manslaughter by negligence,2020,0,0,0,0
Manslaughter by negligence,2021,0,0,0,0
Manslaughter by negligence,2022,0,0,0,0
Rape,2020,0,3,0,0
Rape,2021,0,7,0,0
Rape,2022,0,5,0,0
Fondling,2020,0,4,0,0
Fondling,2021,0,0,0,0
Fondling,2022,1,3,0,0
Incest,2020,0,0,0,0
Incest,2021,0,0,0,0
Incest,2022,0,0,0,0
Statutory rape,2020,0,0,0,0
Statutory rape,2021,0,0,0,0
Statutory rape,2022,0,0,0,0
Robbery,2020,0,0,0,0
Robbery,2021,0,0,0,0
Robbery,2022,0,0,0,0
Aggravated assault,2020,0,1,0,0
Aggravated assault,2021,0,0,0,0
Aggravated assault,2022,0,3,0,0
Burglary,2020,0,2,0,0
Burglary,2021,0,0,0,0
Burglary,2022,0,1,0,0
Motor vehicle theft,2020,0,0,0,0
Motor vehicle theft,2021,0,0,0,0
Motor vehicle theft,2022,1,0,0,0
Arson,2020,0,0,0,0
Arson,2021,0,1,0,0
Arson,2022,0,0,0,0
Domestic violence,2020,0,1,0,0
Domestic violence,2021,0,2,0,0
Domestic violence,2022,0,0,0,0
Dating violence,2020,0,0,0,0
Dating violence,2021,0,0,0,0
Dating violence,2022,0,0,0,0
Stalking,2020,0,0,0,0
Stalking,2021,2,0,0,0
Stalking,2022,0,0,0,0
Liquor law violation,2020,0,0,0,0
Liquor law violation,2021,0,0,0,0
Liquor law violation,2022,1,0,0,0
Drug violation,2020,0,0,0,0
Drug violation,2021,0,0,0,0
Drug violation,2022,0,0,0,0
Weapon violation,2020,0,0,0,0
Weapon violation,2021,0,0,0,0
Weapon violation,2022,0,0,0,0
