Criminal Offenses,Year,Residential Facility,Non Residential Facility,Public Property,Non Campus Building or Property
Murder,2021,0,0,0,0
Murder,2022,0,0,0,0
Murder,2023,0,0,0,0
Manslaughter,2021,0,0,0,0
Manslaughter,2022,0,0,0,0
Manslaughter,2023,0,0,0,0
Rape,2021,10,17,0,0
Rape,2022,20,33,0,0
Rape,2023,11,13,0,0
Fondling,2021,5,7,0,0
Fondling,2022,6,7,0,0
Fondling,2023,2,6,0,0
Incest,2021,0,0,0,0
Incest,2022,0,0,0,0
Incest,2023,0,0,0,0
Statutory Rape,2021,0,0,0,0
Statutory Rape,2022,0,0,0,0
Statutory Rape,2023,1,1,0,0
Robbery,2021,0,0,0,0
Robbery,2022,0,0,0,0
Robbery,2023,0,0,0,0
Aggravated Assault,2021,1,3,0,0
Aggravated Assault,2022,4,6,0,0
Aggravated Assault,2023,2,3,0,0
Burglary,2021,14,16,0,0
Burglary,2022,19,25,0,1
Burglary,2023,29,34,0,0
Arson,2021,1,1,0,0
Arson,2022,1,1,0,0
Arson,2023,1,1,0,0
Motor Vehicle Theft,2021,0,15,0,1
Motor Vehicle Theft,2022,0,356,0,1
Motor Vehicle Theft,2023,5,548,0,0
Domestic Violence,2021,4,8,0,0
Domestic Violence,2022,12,16,1,0
Domestic Violence,2023,5,6,0,0
Dating Violence,2021,2,2,0,0
Dating Violence,2022,0,0,0,0
Dating Violence,2023,0,0,0,0
Stalking,2021,1,1,0,0
Stalking,2022,6,8,0,1
Stalking,2023,5,9,0,0
Illegal Weapons Possession Arrests,2021,0,0,0,0
Illegal Weapons Possession Arrests,2022,0,0,0,0
Illegal Weapons Possession Arrests,2023,0,0,0,0
Drug Law Arrests,2021,3,8,0,0
Drug Law Arrests,2022,5,10,0,0
Drug Law Arrests,2023,4,8,0,0
Liquor Law Arrests,2021,0,0,0,1
Liquor Law Arrests,2022,0,0,0,0
Liquor Law Arrests,2023,0,0,0,0
Illegal Weapons Possession Referrals,2021,0,0,0,0
Illegal Weapons Possession Referrals,2022,0,0,0,0
Illegal Weapons Possession Referrals,2023,0,0,0,0
Drug Law Referrals,2021,76,94,0,0
Drug Law Referrals,2022,122,158,0,0
Drug Law Referrals,2023,148,172,0,0
Liquor Law Referrals,2021,627,658,0,0
Liquor Law Referrals,2022,708,737,0,0
Liquor Law Referrals,2023,667,700,0,0
