Criminal Offenses,Year,Non Residential Facility,Residential Facility,Non Campus Building or Property,Public Property
Murder,2020,0,0,0,0
Murder,2021,0,0,0,0
Murder,2022,0,0,0,0
Manslaughter by negligence,2020,0,0,0,0
Manslaughter by negligence,2021,0,0,0,0
Manslaughter by negligence,2022,0,0,0,0
Rape,2020,3,2,0,0
Rape,2021,6,5,0,1
Rape,2022,8,8,0,1
Fondling,2020,1,0,0,1
Fondling,2021,7,4,0,2
Fondling,2022,7,4,0,2
Incest,2020,0,0,0,0
Incest,2021,0,0,0,0
Incest,2022,0,0,0,0
Statutory rape,2020,0,0,0,0
Statutory rape,2021,0,0,0,0
Statutory rape,2022,0,0,0,0
Robbery,2020,0,0,0,3
Robbery,2021,1,0,0,10
Robbery,2022,1,0,0,3
Aggravated assault,2020,1,1,0,5
Aggravated assault,2021,2,1,0,16
Aggravated assault,2022,1,0,0,5
Burglary,2020,2,2,0,0
Burglary,2021,5,0,0,0
Burglary,2022,2,1,0,0
Motor vehicle theft,2020,0,0,0,7
Motor vehicle theft,2021,4,2,0,5
Motor vehicle theft,2022,2,0,0,4
Arson,2020,1,0,0,0
Arson,2021,0,1,0,0
Arson,2022,1,0,0,0
Domestic violence,2020,0,0,0,0
Domestic violence,2021,0,0,0,0
Domestic violence,2022,0,0,0,1
Dating violence,2020,13,12,0,1
Dating violence,2021,6,5,0,1
Dating violence,2022,8,8,0,0
Stalking,2020,7,3,0,0
Stalking,2021,2,2,0,0
Stalking,2022,17,6,0,0
Liquor Law Referrals,2020,90,89,0,0
Liquor Law Referrals,2021,87,87,0,0
Liquor Law Referrals,2022,98,97,0,0
Drug Law Referrals,2020,18,18,0,0
Drug Law Referrals,2021,64,63,0,0
Drug Law Referrals,2022,114,114,0,0
Illegal Weapons Possession Referrals,2020,4,1,0,0
Illegal Weapons Possession Referrals,2021,6,6,0,0
Illegal Weapons Possession Referrals,2022,12,12,0,0
Liquor Law Arrests,2020,3,3,0,19
Liquor Law Arrests,2021,5,5,0,5
Liquor Law Arrests,2022,1,1,0,5
Drug Law Arrests,2020,20,11,0,17
Drug Law Arrests,2021,13,3,0,36
Drug Law Arrests,2022,22,12,0,33
Illegal Weapons Possession Arrests,2020,1,0,0,3
Illegal Weapons Possession Arrests,2021,2,2,0,7
Illegal Weapons Possession Arrests,2022,4,1,0,3
