Criminal Offenses,Year,Non Residential Facility,Residential Facility,Non Campus Building or Property,Public Property
Murder/Non-Negligent Manslaughter,2021,0,0,0,0
Murder/Non-Negligent Manslaughter,2022,0,0,0,0
Murder/Non-Negligent Manslaughter,2023,0,0,0,0
Manslaughter by Negligence,2021,0,0,0,0
Manslaughter by Negligence,2022,0,0,0,0
Manslaughter by Negligence,2023,0,0,0,0
Rape,2021,9,9,0,0
Rape,2022,8,7,1,0
Rape,2023,5,4,0,1
Fondling,2021,7,4,0,1
Fondling,2022,6,5,0,0
Fondling,2023,3,2,0,0
Incest,2021,0,0,0,0
Incest,2022,0,0,0,0
Incest,2023,0,0,0,0
Statutory Rape,2021,0,0,0,0
Statutory Rape,2022,0,0,0,0
Statutory Rape,2023,0,0,0,0
Robbery,2021,0,0,0,0
Robbery,2022,1,0,0,0
Robbery,2023,0,0,0,0
Aggravated Assault,2021,0,0,0,0
Aggravated Assault,2022,1,0,0,0
Aggravated Assault,2023,1,1,0,0
Burglary,2021,2,1,1,0
Burglary,2022,8,2,1,0
Burglary,2023,4,0,2,0
Motor Vehicle Theft,2021,4,0,1,1
Motor Vehicle Theft,2022,19,0,0,0
Motor Vehicle Theft,2023,24,1,1,2
Arson,2021,0,0,0,0
Arson,2022,0,0,0,0
Arson,2023,1,1,0,0
Domestic Violence,2021,0,0,0,0
Domestic Violence,2022,0,0,0,0
Domestic Violence,2023,1,0,0,0
Dating Violence,2021,1,0,0,1
Dating Violence,2022,1,1,0,0
Dating Violence,2023,0,0,0,0
Stalking,2021,2,1,0,0
Stalking,2022,1,1,0,0
Stalking,2023,1,0,0,0
Arrests: Weapons Carrying/Possessing,2021,1,0,0,1
Arrests: Weapons Carrying/Possessing,2022,1,0,0,0
Arrests: Weapons Carrying/Possessing,2023,0,0,0,0
Disciplinary Referrals: Weapons Carrying/Possessing,2021,0,0,0,0
Disciplinary Referrals: Weapons Carrying/Possessing,2022,0,0,0,0
Disciplinary Referrals: Weapons Carrying/Possessing,2023,0,0,0,0
Arrests: Liquor Law Violations,2021,0,0,0,0
Arrests: Liquor Law Violations,2022,0,0,0,0
Arrests: Liquor Law Violations,2023,0,0,0,0
Disciplinary Referrals: Liquor Law Violations,2021,189,183,1,0
Disciplinary Referrals: Liquor Law Violations,2022,186,182,0,0
Disciplinary Referrals: Liquor Law Violations,2023,108,106,0,0
Arrests: Drug Abuse Violations,2021,0,0,0,3
Arrests: Drug Abuse Violations,2022,1,0,0,0
Arrests: Drug Abuse Violations,2023,0,0,0,1
Disciplinary Referrals: Drug Abuse Violations,2021,64,64,2,0
Disciplinary Referrals: Drug Abuse Violations,2022,65,64,1,0
Disciplinary Referrals: Drug Abuse Violations,2023,60,59,0,0
